Title,Author,Author Average Rating,Author Votes,Review Count,Distinct Works,Year,Rating,Raters,Genres
The Time Traveler's Wife (ebook),Audrey Niffenegger,3.94,"1,830,702","68,280",41,2004,3.99,1712988,"Fiction,Romance,Fantasy,Science Fiction,Science Fiction,Contemporary,Adult,Womens Fiction,Adult Fiction,Magical Realism"
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.35,"10,073,413","175,255",512,1937,4.28,3535816,"Fantasy,Classics,Fiction,Adventure,Young Adult,Science Fiction Fantasy,Fantasy,Childrens,Fantasy,Novels"
Lord of the Flies (Paperback),William Golding,3.69,"2,685,635","50,212",91,1954,3.69,2663176,"Classics,Fiction,Young Adult,Academic,Literature,Science Fiction,Academic,Novels,Young Adult,Adventure"
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.37,"6,423,033","220,099","1,121",1996,4.44,2303264,"Fantasy,Fiction,Fantasy,Adult,Fantasy,Science Fiction Fantasy,Adventure,Audiobook,Fantasy,Epic"
"Dune (Dune, #1)",Frank Herbert,4.13,"1,887,134","77,998",364,1965,4.25,1151202,"Science Fiction,Fiction,Fantasy,Classics,Science Fiction Fantasy,Audiobook,Space,Novels,Adventure,Adult"
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.36,"8,084,588","673,297",87,2015,4.20,1230157,"Fantasy,Romance,Young Adult,New Adult,Fiction,Fairies,Retellings,Fantasy,Young Adult,Romance"
The Night Circus (Hardcover),Erin Morgenstern,4.0,"1,031,772","123,843",5,2011,4.03,863003,"Fantasy,Fiction,Romance,Historical,Magical Realism,Fantasy,Young Adult,Adult,Audiobook,Historical"
Educated (Hardcover),Tara Westover,4.47,"1,255,931","93,610",7,2018,4.47,1254353,"Nonfiction,Autobiography,Biography,Audiobook,Biography Memoir,Biography,Education,Book Club,Adult,Religion"
Brave New World (Paperback),Aldous Huxley,3.99,"2,028,148","52,877",442,1932,3.99,1695334,"Classics,Fiction,Science Fiction,Science Fiction,Literature,Novels,Academic,Fantasy,Philosophy,Science Fiction Fantasy"
Eleanor & Park (Hardcover),Rainbow Rowell,3.96,"2,766,957","263,016",93,2012,3.97,1079516,"Young Adult,Romance,Contemporary,Fiction,Realistic Fiction,Audiobook,Young Adult,Young Adult,Young Adult,Young Adult"
People We Meet on Vacation (Paperback),Emily Henry,4.05,"1,909,306","216,951",11,2021,3.95,716494,"Romance,Fiction,Contemporary,Romance,Adult,Womens Fiction,Audiobook,Adult Fiction,Travel,New Adult"
"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.2,"3,166,111","75,134",87,1979,4.23,1697693,"Science Fiction,Fiction,Humor,Classics,Fantasy,Humor,Science Fiction Fantasy,Audiobook,Adventure,Novels"
"Red Queen (Red Queen, #1)",Victoria Aveyard,3.94,"1,634,617","124,969",24,2015,4.03,853643,"Fantasy,Young Adult,Science Fiction,Romance,Fiction,Young Adult,Fantasy,Audiobook,Science Fiction,Fantasy"
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.17,"3,659,317","407,612",69,2015,4.49,733000,"Fantasy,Young Adult,Fiction,Young Adult,Romance,LGBT,Adventure,Fantasy,Fantasy,Audiobook"
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Paperback),Mark Manson,3.92,"1,014,602","64,007",78,2016,3.91,872917,"Nonfiction,Self Help,Psychology,Audiobook,Self Help,Philosophy,Business,Humor,Adult,Health"
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4.09,"2,905,818","278,307",168,2018,4.08,773693,"Fantasy,Young Adult,Romance,Fairies,Fiction,Young Adult,Fantasy,Audiobook,Romance,Fantasy"
The Help (Hardcover),Kathryn Stockett,4.47,"2,530,559","87,828",4,2009,4.47,2530491,"Fiction,Historical,Historical,Adult,Adult Fiction,Audiobook,Contemporary,Classics,Book Club,Womens Fiction"
Les Misérables (Mass Market Paperback),Victor Hugo,4.15,"1,056,458","34,644","2,259",1862,4.19,755177,"Classics,Fiction,Historical,Literature,Cultural,Historical,Novels,European Literature,Romance,Classics"
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.23,"8,430,569","485,052",187,2007,4.08,1876941,"Fantasy,Young Adult,Fantasy,Romance,Fantasy,Fiction,Paranormal,Fantasy,Young Adult,Paranormal"
"Red, White & Royal Blue (Paperback)",Casey McQuiston,4.11,"856,713","116,993",6,2019,4.14,645148,"Romance,LGBT,Contemporary,Fiction,LGBT,Young Adult,New Adult,Audiobook,Adult,Romance"
Crime and Punishment (Paperback),Fyodor Dostoevsky,4.19,"1,947,631","101,858","2,345",1866,4.25,787532,"Classics,Fiction,Cultural,Literature,Literature,Philosophy,Novels,Mystery,Literature,Academic"
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.34,"11,197,105","446,238",278,2005,4.29,2590702,"Fantasy,Young Adult,Fantasy,Fiction,Childrens,Adventure,Childrens,Mythology,Fantasy,Audiobook"
Slaughterhouse-Five (Paperback),Kurt Vonnegut Jr.,4.07,"2,787,191","100,770",464,1969,4.09,1274433,"Classics,Fiction,Science Fiction,War,Historical,Literature,Novels,Science Fiction,Fantasy,Literature"
Becoming (Hardcover),Michelle Obama,4.48,"910,855","64,563",35,2018,4.48,896920,"Nonfiction,Autobiography,Biography,Audiobook,Biography,Politics,Biography Memoir,Feminism,History,Adult"
Catch-22 (Paperback),Joseph Heller,3.97,"817,675","23,025",43,1961,3.99,793038,"Classics,Fiction,Historical,War,Humor,Literature,Novels,Literature,Unfinished,Historical"
Verity (Paperback),Colleen Hoover,4.24,"9,637,673","874,520",70,2018,4.39,1426402,"Thriller,Romance,Mystery,Fiction,Thriller,Contemporary,Suspense,Adult,Audiobook,Dark"
We Were Liars (Kindle Edition),E. Lockhart,3.69,"1,161,168","118,207",22,2014,3.72,954389,"Young Adult,Mystery,Contemporary,Fiction,Romance,Thriller,Thriller,Realistic Fiction,Audiobook,Young Adult"
The Power of Habit: Why We Do What We Do in Life and Business (Hardcover),Charles Duhigg,4.11,"486,457","23,285",24,2012,4.13,454097,"Nonfiction,Self Help,Psychology,Business,Self Help,Productivity,Audiobook,Science,Leadership,Sociology"
A Little Life (Hardcover),Hanya Yanagihara,4.26,"463,277","71,959",14,2015,4.34,406174,"Fiction,Contemporary,LGBT,Literary Fiction,Adult,LGBT,Health,Novels,Audiobook,Adult Fiction"
"The Selection (The Selection, #1)",Kiera Cass,3.99,"3,603,626","223,840",33,2012,4.10,1335646,"Young Adult,Romance,Science Fiction,Fantasy,Fiction,Science Fiction,Audiobook,Young Adult,Young Adult,Womens Fiction"
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,3.97,"1,666,716","107,826",27,2011,3.92,1167548,"Fantasy,Young Adult,Fiction,Fantasy,Mystery,Horror,Historical,Science Fiction,Fantasy,Adventure"
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change (Paperback),Stephen R. Covey,4.13,"849,238","20,611",506,1988,4.15,671369,"Self Help,Nonfiction,Business,Self Help,Psychology,Leadership,Productivity,Business,Audiobook,Philosophy"
The Shining (Paperback),Stephen King,4.06,"17,484,617","775,838","1,886",1977,4.26,1346837,"Horror,Fiction,Thriller,Classics,Fantasy,Fantasy,Mystery,Adult,Suspense,Audiobook"
"Me Before You (Me Before You, #1)",Jojo Moyes,4.11,"3,002,905","213,732",60,2012,4.26,1457884,"Romance,Fiction,Contemporary,Womens Fiction,Adult,Adult Fiction,Audiobook,Romance,Drama,Realistic Fiction"
Memoirs of a Geisha (Mass Market Paperback),Arthur Golden,4.14,"1,906,202","33,687",8,1997,4.14,1898975,"Fiction,Historical,Romance,Historical,Classics,Cultural,Adult,Novels,Cultural,Adult Fiction"
Gone with the Wind (Mass Market Paperback),Margaret Mitchell,4.31,"1,200,089","23,644",72,1936,4.30,1166185,"Classics,Historical,Fiction,Romance,Historical,War,Literature,Military History,Romance,Novels"
Lolita (Paperback),Vladimir Nabokov,3.88,"1,417,118","61,245",505,1955,3.88,772859,"Classics,Fiction,Literature,Novels,Cultural,Romance,Literature,Literary Fiction,Literature,Adult"
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.21,"2,589,749","270,000",56,2012,4.13,841575,"Fantasy,Young Adult,Science Fiction,Romance,Science Fiction,Retellings,Fiction,Fantasy,Audiobook,Young Adult"
Malibu Rising (Hardcover),Taylor Jenkins Reid,4.27,"3,847,785","430,295",19,2021,4.08,653238,"Fiction,Historical,Contemporary,Audiobook,Romance,Adult,Historical,Adult Fiction,Family,Womens Fiction"
The Princess Bride (Paperback),William Goldman,4.25,"898,235","25,669",56,1973,4.26,857339,"Fantasy,Classics,Fiction,Romance,Humor,Young Adult,Adventure,Humor,Science Fiction Fantasy,Fantasy"
A Tale of Two Cities (Paperback),Charles Dickens,3.91,"3,609,421","121,932","5,782",1859,3.86,896695,"Classics,Fiction,Historical,Literature,Historical,Novels,Academic,Classics,Literature,European Literature"
The Bell Jar (Paperback),Sylvia Plath,4.07,"976,632","48,839",205,1963,4.04,784282,"Classics,Fiction,Feminism,Health,Psychology,Literature,Mental Health,Novels,Poetry,Literary Fiction"
Daisy Jones & The Six (Hardcover),Taylor Jenkins Reid,4.27,"3,847,785","430,295",19,2019,4.24,803195,"Fiction,Historical,Audiobook,Contemporary,Romance,Adult,Music,Historical,Adult Fiction,Literary Fiction"
Ugly Love (Kindle Edition),Colleen Hoover,4.24,"9,637,673","874,520",70,2014,4.18,1065405,"Romance,New Adult,Contemporary,Fiction,Romance,Adult,Audiobook,Womens Fiction,Young Adult,Love"
Dracula (Paperback),Bram Stoker,4.0,"1,200,568","43,083","1,456",1897,4.01,1138461,"Classics,Horror,Fiction,Fantasy,Paranormal,Gothic,Fantasy,Literature,Audiobook,Literature"
The Nightingale (Hardcover),Kristin Hannah,4.31,"3,556,263","296,614",82,2015,4.60,1029386,"Historical,Fiction,Historical,War,War,Audiobook,Adult,Romance,Cultural,Adult Fiction"
The Count of Monte Cristo (Paperback),Alexandre Dumas,4.2,"1,398,021","46,649","3,373",1844,4.28,849723,"Classics,Fiction,Historical,Adventure,Literature,Historical,Cultural,Novels,Classics,Romance"
The Goldfinch (Hardcover),Donna Tartt,4.0,"1,424,451","126,050",28,2013,3.93,842945,"Fiction,Contemporary,Literary Fiction,Audiobook,Art,Mystery,Adult,Novels,Adult Fiction,Literature"
Sense and Sensibility (Paperback),Jane Austen,4.14,"7,410,613","236,945","2,081",1811,4.08,1103567,"Classics,Fiction,Romance,Historical,Literature,Historical,Audiobook,Literature,Classics,European Literature"
A Thousand Splendid Suns (Hardcover),Khaled Hosseini,4.33,"4,717,719","195,536",27,2007,4.41,1385361,"Fiction,Historical,Contemporary,Historical,Novels,War,Classics,Adult,Adult Fiction,Drama"
"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,4.17,"3,659,317","407,612",69,2012,3.95,798096,"Fantasy,Young Adult,Romance,Fiction,Young Adult,Fantasy,Fantasy,Adventure,Audiobook,Fantasy"
Beach Read (Paperback),Emily Henry,4.05,"1,909,407","216,963",11,2020,4.05,659383,"Romance,Contemporary,Fiction,Adult,Romance,Womens Fiction,Audiobook,Adult Fiction,Writing,New Adult"
Little Fires Everywhere (Hardcover),Celeste Ng,4.01,"1,538,963","115,892",14,2017,4.09,1023059,"Fiction,Contemporary,Audiobook,Adult,Literary Fiction,Adult Fiction,Book Club,Novels,Mystery,Family"
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones (Kindle Edition),James Clear,4.38,"509,680","35,629",19,2018,4.38,507906,"Nonfiction,Self Help,Psychology,Self Help,Productivity,Audiobook,Business,Leadership,Science,Health"
Life of Pi (Paperback),Yann Martel,3.91,"1,569,054","57,986",29,2001,3.93,1520868,"Fiction,Fantasy,Classics,Adventure,Contemporary,Magical Realism,Novels,Literature,Cultural,Philosophy"
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.36,"8,084,822","673,308",87,2012,4.19,928882,"Fantasy,Young Adult,Romance,Fiction,Young Adult,Fantasy,Fantasy,New Adult,Fairies,Adventure"
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.35,"10,073,413","175,255",512,1954,4.38,2638879,"Fantasy,Classics,Fiction,Adventure,Fantasy,Science Fiction Fantasy,Fantasy,Audiobook,Young Adult,Novels"
Quiet: The Power of Introverts in a World That Can't Stop Talking (Hardcover),Susan Cain,4.07,"413,448","29,455",12,2012,4.07,397093,"Nonfiction,Psychology,Self Help,Science,Business,Audiobook,Self Help,Sociology,Leadership,Adult"
The Love Hypothesis (Paperback),Ali Hazelwood,4.13,"1,187,570","149,802",9,2021,4.26,832408,"Romance,Contemporary,Fiction,Romance,Adult,Womens Fiction,New Adult,Audiobook,Adult Fiction,Academic"
The Lovely Bones (Mass Market Paperback),Alice Sebold,3.82,"2,372,006","54,763",14,2002,3.84,2229732,"Fiction,Mystery,Young Adult,Contemporary,Fantasy,Mystery,Thriller,Adult,Adult Fiction,Drama"
It (Paperback),Stephen King,4.06,"17,484,688","775,845","1,886",1984,4.25,992609,"Horror,Fiction,Thriller,Fantasy,Audiobook,Classics,Mystery,Adult,Fantasy,Fantasy"
Looking for Alaska (Paperback),John Green,4.0,"8,873,634","413,752",46,2005,3.98,1431739,"Young Adult,Fiction,Contemporary,Romance,Realistic Fiction,Young Adult,Young Adult,Mystery,Young Adult,Young Adult"
Normal People (Hardcover),Sally Rooney,3.78,"1,665,108","166,468",33,2018,3.82,1000368,"Fiction,Contemporary,Romance,Literary Fiction,Audiobook,Adult,Cultural,Novels,Adult Fiction,Young Adult"
The Little Prince (Paperback),Antoine de Saint-Exupéry,4.31,"1,888,375","60,412",573,1943,4.32,1834734,"Classics,Fiction,Fantasy,Childrens,Cultural,Philosophy,Young Adult,Literature,Childrens,European Literature"
The Secret History (Paperback),Donna Tartt,4.0,"1,424,468","126,051",28,1992,4.17,511532,"Fiction,Mystery,Contemporary,Classics,Thriller,Literary Fiction,Thriller,Adult,Mystery,Novels"
Man's Search for Meaning (Paperback),Viktor E. Frankl,4.36,"609,684","33,863",107,1946,4.37,590132,"Nonfiction,Psychology,Philosophy,History,Self Help,Autobiography,Biography,Classics,Spirituality,World War II"
Of Mice and Men (Paperback),John Steinbeck,3.95,"4,401,139","134,553",461,1937,3.88,2320586,"Classics,Fiction,Academic,Historical,Literature,Academic,Novels,Young Adult,Literature,Historical"
Emma (Paperback),Jane Austen,4.14,"7,410,613","236,945","2,081",1815,4.04,796234,"Classics,Fiction,Romance,Historical,Literature,Historical,Audiobook,Literature,Classics,Novels"
"Eat, Pray, Love (Paperback)",Elizabeth Gilbert,3.69,"2,279,111","116,283",46,2006,3.61,1649294,"Nonfiction,Autobiography,Travel,Biography,Womens Fiction,Romance,Spirituality,Biography Memoir,Contemporary,Biography"
They Both Die at the End (Hardcover),Adam Silvera,3.85,"859,037","112,867",23,2017,3.82,551162,"Young Adult,LGBT,Romance,Contemporary,Fiction,LGBT,Audiobook,Fantasy,Science Fiction,LGBT"
The Hating Game (Paperback),Sally  Thorne,3.87,"707,197","78,791",5,2016,3.97,566349,"Romance,Contemporary,Romance,Fiction,Womens Fiction,Adult,Audiobook,New Adult,Humor,Adult Fiction"
The Tipping Point: How Little Things Can Make a Big Difference (Paperback),Malcolm Gladwell,4.03,"2,627,137","106,460",90,2000,3.99,775693,"Nonfiction,Business,Psychology,Sociology,Self Help,Science,Economics,Audiobook,Leadership,Self Help"
Fangirl (Kindle Edition),Rainbow Rowell,3.96,"2,766,957","263,016",93,2013,3.98,701984,"Young Adult,Contemporary,Romance,Fiction,Realistic Fiction,New Adult,Audiobook,Young Adult,Young Adult,Womens Fiction"
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,4.33,"755,478","94,899",10,2019,4.36,447031,"Mystery,Young Adult,Thriller,Thriller,Fiction,Contemporary,Mystery,Audiobook,Mystery,Suspense"
The Vanishing Half (Hardcover),Brit Bennett,4.13,"756,447","62,830",14,2020,4.18,634666,"Fiction,Historical,Contemporary,Audiobook,Literary Fiction,Race,Historical,Adult,Book Club,Adult Fiction"
"The Maze Runner (The Maze Runner, #1)",James Dashner,3.95,"2,764,824","144,704",50,2009,4.04,1348867,"Young Adult,Science Fiction,Science Fiction,Fiction,Fantasy,Adventure,Apocalyptic,Mystery,Young Adult,Audiobook"
"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,3.95,"1,065,771","104,439",23,2017,3.98,636020,"Mystery,Young Adult,Contemporary,Thriller,Fiction,Thriller,Romance,Audiobook,Mystery,LGBT"
The Guest List (Hardcover),Lucy Foley,3.78,"1,187,201","108,251",14,2020,3.85,709095,"Mystery,Thriller,Fiction,Thriller,Audiobook,Suspense,Adult,Contemporary,Mystery,Adult Fiction"
"American Gods (American Gods, #1)",Neil Gaiman,4.14,"7,226,470","450,330","1,481",2001,4.11,864096,"Fantasy,Fiction,Fantasy,Fantasy,Audiobook,Science Fiction,Science Fiction Fantasy,Adult,Contemporary,Horror"
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.75,"4,424,543","167,741",39,2011,3.66,2359136,"Romance,Fiction,Adult Fiction,Adult,Erotica,Contemporary,Romance,Womens Fiction,Romance,Adult Fiction"
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.46,"1,572,436","93,422",55,2007,4.52,865033,"Fantasy,Fiction,Fantasy,Fantasy,Fantasy,Science Fiction Fantasy,Adult,Adventure,Audiobook,Epic"
A Clockwork Orange (Paperback),Anthony Burgess,4.0,"751,071","22,405",193,1962,4.00,669547,"Classics,Fiction,Science Fiction,Science Fiction,Literature,Horror,Novels,Classics,Mystery,European Literature"
Book Lovers (Hardcover),Emily Henry,4.05,"1,909,407","216,963",11,2022,4.24,488545,"Romance,Contemporary,Fiction,Romance,Adult,Audiobook,Womens Fiction,Writing,Adult Fiction,New Adult"
"Outlander (Outlander, #1)",Diana Gabaldon,4.29,"2,852,758","147,520",188,1991,4.25,966895,"Historical,Romance,Fantasy,Fiction,Science Fiction,Historical,Romance,Adult,Audiobook,Cultural"
Reminders of Him (Kindle Edition),Colleen Hoover,4.24,"9,637,673","874,520",70,2022,4.49,634324,"Romance,Fiction,Contemporary,Romance,Adult,Audiobook,New Adult,Womens Fiction,Drama,Adult Fiction"
Never Let Me Go (Paperback),Kazuo Ishiguro,3.85,"1,336,656","117,741",46,2005,3.84,602448,"Fiction,Science Fiction,Science Fiction,Contemporary,Literary Fiction,Romance,Adult,Novels,Literature,Classics"
Romeo and Juliet (Mass Market Paperback),William Shakespeare,3.86,"7,295,720","154,513","7,712",1597,3.74,2405535,"Classics,Plays,Fiction,Romance,Academic,Drama,Academic,Literature,Young Adult,Poetry"
The Stranger (Paperback),Albert Camus,4.02,"1,435,968","65,346",564,1942,4.01,911533,"Classics,Fiction,Philosophy,Cultural,Literature,Novels,European Literature,Academic,Literary Fiction,Literature"
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,4.27,"665,937","27,452",174,1969,4.28,488877,"Nonfiction,Classics,Autobiography,Biography,Biography,Poetry,Feminism,Biography Memoir,Cultural,Race"
War and Peace (Paperback),Leo Tolstoy,4.08,"1,487,197","77,552","3,537",1869,4.15,303531,"Classics,Fiction,Historical,Cultural,Literature,Literature,War,Novels,Historical,Literature"
"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,4.3,"934,631","63,073",14,2018,4.28,752327,"Historical,Fiction,Historical,Audiobook,War,World War II,Romance,War,Adult,Book Club"
Paper Towns (Paperback),John Green,4.0,"8,873,634","413,752",46,2008,3.73,1212653,"Young Adult,Fiction,Contemporary,Romance,Mystery,Realistic Fiction,Young Adult,Young Adult,Adventure,Young Adult"
"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,3.97,"2,416,066","190,370",37,2014,4.07,758836,"Romance,Young Adult,Contemporary,Fiction,Audiobook,Womens Fiction,Realistic Fiction,Young Adult,Young Adult,Young Adult"
All the Bright Places (Hardcover),Jennifer Niven,4.06,"624,153","60,559",19,2015,4.14,484049,"Young Adult,Romance,Contemporary,Fiction,Health,Mental Health,Realistic Fiction,Audiobook,Young Adult,Young Adult"
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.99,"1,610,315","59,300",141,1962,3.99,1137417,"Fantasy,Fiction,Classics,Young Adult,Science Fiction,Childrens,Childrens,Science Fiction,Adventure,Science Fiction Fantasy"
