Title,Author,Year,Rating,Raters
The Tommyknockers (Mass Market Paperback),Stephen King,1987,3.58,141465
Thinner (Mass Market Paperback),Richard Bachman,1984,3.76,195781
Under the Dome (Hardcover),Stephen King,2009,3.91,282750
The Final Girl Support Group (Hardcover),Grady Hendrix,2021,3.56,81369
The Institute (Hardcover),Stephen King,2019,4.20,216726
Missing,Missing,0,0,0
Missing,Missing,0,0,0
The Dark Half (Paperback),Stephen King,1989,3.80,134645
Skeleton Crew (Paperback),Stephen King,1985,3.97,118848
"The Gunslinger (The Dark Tower, #1)",Stephen King,1982,3.93,568253
"The Passage (The Passage, #1)",Justin Cronin,2010,4.04,201724
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,1981,4.05,310054
Carmilla (Paperback),J. Sheridan Le Fanu,1872,3.83,76691
I Am Legend (Kindle Edition),Richard Matheson,1954,4.06,118330
Gerald's Game (Hardcover),Stephen King,1992,3.56,149724
Desperation (Mass Market Paperback),Stephen King,1996,3.84,133053
Insomnia (Paperback),Stephen King,1994,3.83,147007
The Mist (Paperback),Stephen King,1980,3.95,137190
Dreamcatcher (Paperback),Stephen King,2001,3.64,166002
The Green Mile (Paperback),Stephen King,1996,4.46,289082
Tender is the Flesh (Paperback),Agustina Bazterrica,2017,3.88,83973
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,1985,4.08,189859
American Psycho (Paperback),Bret Easton Ellis,1991,3.82,276768
The Woman in Black (Paperback),Susan         Hill,1983,3.74,60164
Ghost Story (Mass Market Paperback),Peter Straub,1979,3.94,74445
"The Strain (The Strain Trilogy, #1)",Guillermo del Toro,2009,3.79,83735
The Long Walk (Mass Market Paperback),Richard Bachman,1979,4.10,158040
Through the Woods (Hardcover),Emily Carroll,2014,3.94,74668
I Am Legend and Other Stories (Paperback),Richard Matheson,1954,4.00,126726
"Into the Drowning Deep (Rolling in the Deep, #1)",Mira Grant,2017,3.99,25662
Hell House (Hardcover),Richard Matheson,1971,3.76,45250
The Hellbound Heart (Paperback),Clive Barker,1986,4.06,49134
The Amityville Horror (Mass Market Paperback),Jay Anson,1977,3.84,121327
"Full Dark, No Stars (Hardcover)",Stephen King,2011,4.07,102903
The Terror (Hardcover),Dan Simmons,2007,4.06,54883
Revival (Hardcover),Stephen King,2014,3.80,114754
Different Seasons (Mass Market Paperback),Stephen King,1982,4.35,193278
Everything's Eventual (Paperback),Stephen King,2002,3.97,95025
The Ruins (Hardcover),Scott        Smith,2006,3.64,41304
The Girl Who Loved Tom Gordon (Paperback),Stephen King,1999,3.62,148696
Four Past Midnight (Paperback),Stephen King,1990,3.94,104343
I'm Thinking of Ending Things (Kindle Edition),Iain Reid,2016,3.59,115744
Annihilation (Paperback),Jeff VanderMeer,2014,3.74,195487
The Cabin at the End of the World (Hardcover),Paul Tremblay,2018,3.30,51066
"Anna Dressed in Blood (Anna, #1)",Kendare Blake,2011,3.91,102969
"Locke & Key, Volume 1: Welcome to Lovecraft (Hardcover)",Joe Hill,2008,4.15,92437
Bunny (Hardcover),Mona Awad,2019,3.57,75302
Duma Key (Hardcover),Stephen King,2008,3.96,114061
Nightmares and Dreamscapes (Paperback),Stephen King,1993,3.95,79023
"The Talisman (The Talisman, #1)",Stephen King,1984,4.13,120203
Home Before Dark (Hardcover),Riley Sager,2020,4.09,133996
Rose Madder (Paperback),Stephen King,1995,3.73,105985
Dolores Claiborne (ebook),Stephen King,1992,3.90,140973
