Title,Author,Year,Rating,Raters,Genres
The Catcher in the Rye (Paperback),J.D. Salinger,1951,3.81,3218110,"Classics,Fiction,Young Adult,Literature,Academic,Novels,Young Adult,Young Adult,Literature,Academic"
Fahrenheit 451 (Kindle Edition),Ray Bradbury,1953,3.97,2120617,"Classics,Fiction,Science Fiction,Science Fiction,Academic,Literature,Novels,Fantasy,Audiobook,Adult"
"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,1985,4.13,1819778,"Fiction,Classics,Science Fiction,Science Fiction,Feminism,Fantasy,Adult,Audiobook,Literature,Novels"
The Midnight Library (Hardcover),Matt Haig,2020,4.03,1183769,"Fiction,Fantasy,Contemporary,Audiobook,Magical Realism,Adult,Science Fiction,Health,Adult Fiction,Book Club"
Jane Eyre (Paperback),Charlotte Brontë,1847,4.14,1915986,"Classics,Fiction,Romance,Historical,Gothic,Literature,Historical,Academic,Literature,Novels"
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,2005,3.63,5963098,"Fantasy,Young Adult,Romance,Fiction,Paranormal,Fantasy,Romance,Fantasy,Fantasy,Young Adult"
Little Women (Paperback),Louisa May Alcott,1868,4.13,2012526,"Classics,Fiction,Historical,Young Adult,Romance,Historical,Literature,Childrens,Classics,Audiobook"
Gone Girl (Paperback),Gillian Flynn,2012,4.11,2772635,"Fiction,Mystery,Thriller,Thriller,Mystery,Suspense,Contemporary,Adult,Audiobook,Adult Fiction"
The Kite Runner (Paperback),Khaled Hosseini,2003,4.33,2864261,"Fiction,Historical,Classics,Contemporary,Novels,Historical,Adult,Literature,Academic,Drama"
Wuthering Heights (Paperback),Emily Brontë,1847,3.88,1625911,"Classics,Fiction,Romance,Gothic,Historical,Literature,Literature,Novels,Historical,Classics"
Where the Crawdads Sing (ebook),Delia Owens,2018,4.43,2222950,"Fiction,Historical,Mystery,Audiobook,Romance,Adult,Contemporary,Historical,Book Club,Adult Fiction"
The Invisible Life of Addie LaRue (Hardcover),V.E. Schwab,2020,4.22,722301,"Fantasy,Fiction,Historical,Romance,Adult,Audiobook,Historical,Magical Realism,LGBT,Contemporary"
"Divergent (Divergent, #1)",Veronica Roth,2011,4.16,3579733,"Young Adult,Science Fiction,Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Action,Apocalyptic"
Sapiens: A Brief History of Humankind (Paperback),Yuval Noah Harari,2011,4.38,840588,"Nonfiction,History,Science,Philosophy,Anthropology,Audiobook,Psychology,Sociology,Historical,Biology"
Circe (Hardcover),Madeline Miller,2018,4.25,774344,"Fantasy,Fiction,Fantasy,Historical,Mythology,Retellings,Audiobook,Historical,Adult,Fantasy"
Anna Karenina (Paperback),Leo Tolstoy,1878,4.08,777184,"Classics,Fiction,Romance,Cultural,Historical,Literature,Literature,Novels,Literature,Historical"
How to Win Friends and Influence People (Paperback),Dale Carnegie,1936,4.21,846502,"Nonfiction,Self Help,Business,Psychology,Self Help,Leadership,Classics,Language,Audiobook,Relationships"
The Time Traveler's Wife (ebook),Audrey Niffenegger,2004,3.99,1710636,"Fiction,Romance,Fantasy,Science Fiction,Science Fiction,Contemporary,Adult,Womens Fiction,Adult Fiction,Magical Realism"
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,1937,4.28,3521777,"Fantasy,Classics,Fiction,Adventure,Young Adult,Science Fiction Fantasy,Fantasy,Childrens,Fantasy,Novels"
The Silent Patient (Hardcover),Alex Michaelides,2019,4.17,1271239,"Thriller,Mystery,Fiction,Thriller,Audiobook,Suspense,Mystery,Adult,Thriller,Contemporary"
Lord of the Flies (Paperback),William Golding,1954,3.69,2655078,"Classics,Fiction,Young Adult,Academic,Literature,Science Fiction,Academic,Novels,Young Adult,Adventure"
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,1996,4.44,2297531,"Fantasy,Fiction,Fantasy,Adult,Fantasy,Science Fiction Fantasy,Adventure,Audiobook,Fantasy,Epic"
And Then There Were None (Paperback),Agatha Christie,1939,4.28,1145110,"Mystery,Classics,Fiction,Mystery,Thriller,Thriller,Audiobook,Adult,Suspense,Novels"
"Dune (Dune, #1)",Frank Herbert,1965,4.25,1145244,"Science Fiction,Fiction,Fantasy,Classics,Science Fiction Fantasy,Audiobook,Space,Novels,Adventure,Adult"
The Night Circus (Hardcover),Erin Morgenstern,2011,4.03,859656,"Fantasy,Fiction,Romance,Historical,Magical Realism,Fantasy,Young Adult,Adult,Audiobook,Historical"
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,2015,4.2,1208748,"Fantasy,Romance,Young Adult,New Adult,Fiction,Fairies,Retellings,Fantasy,Young Adult,Romance"
Educated (Hardcover),Tara Westover,2018,4.47,1246945,"Nonfiction,Autobiography,Biography,Audiobook,Biography Memoir,Biography,Education,Book Club,Adult,Religion"
Brave New World (Paperback),Aldous Huxley,1932,3.99,1690360,"Classics,Fiction,Science Fiction,Science Fiction,Literature,Novels,Academic,Fantasy,Philosophy,Science Fiction Fantasy"
Eleanor & Park (Hardcover),Rainbow Rowell,2012,3.97,1076117,"Young Adult,Romance,Contemporary,Fiction,Realistic Fiction,Audiobook,Young Adult,Young Adult,Young Adult,Young Adult"
People We Meet on Vacation (Paperback),Emily Henry,2021,3.95,704108,"Romance,Fiction,Contemporary,Romance,Adult,Womens Fiction,Audiobook,Adult Fiction,Travel,New Adult"
"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,1979,4.23,1692593,"Science Fiction,Fiction,Humor,Classics,Fantasy,Humor,Science Fiction Fantasy,Audiobook,Adventure,Novels"
"Red Queen (Red Queen, #1)",Victoria Aveyard,2015,4.03,848409,"Fantasy,Young Adult,Science Fiction,Romance,Fiction,Young Adult,Fantasy,Audiobook,Science Fiction,Fantasy"
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,2015,4.49,727003,"Fantasy,Young Adult,Fiction,Young Adult,Romance,LGBT,Adventure,Fantasy,Fantasy,Audiobook"
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Paperback),Mark Manson,2016,3.91,865735,"Nonfiction,Self Help,Psychology,Audiobook,Self Help,Philosophy,Business,Humor,Adult,Health"
The Help (Hardcover),Kathryn Stockett,2009,4.47,2523960,"Fiction,Historical,Historical,Adult,Adult Fiction,Audiobook,Contemporary,Classics,Book Club,Womens Fiction"
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,2018,4.08,760962,"Fantasy,Young Adult,Romance,Fairies,Fiction,Young Adult,Fantasy,Audiobook,Fantasy,Paranormal"
Les Misérables (Mass Market Paperback),Victor Hugo,1862,4.19,753749,"Classics,Fiction,Historical,Literature,Cultural,Historical,Novels,European Literature,Romance,Classics"
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,2007,4.08,1872598,"Fantasy,Young Adult,Fantasy,Romance,Fantasy,Fiction,Paranormal,Fantasy,Young Adult,Paranormal"
Crime and Punishment (Paperback),Fyodor Dostoevsky,1866,4.25,784085,"Classics,Fiction,Cultural,Literature,Literature,Philosophy,Novels,Mystery,Literature,Academic"
"Red, White & Royal Blue (Paperback)",Casey McQuiston,2019,4.15,637031,"Romance,LGBT,Contemporary,Fiction,LGBT,Young Adult,New Adult,Audiobook,Adult,Romance"
Slaughterhouse-Five (Paperback),Kurt Vonnegut Jr.,1969,4.09,1271238,"Classics,Fiction,Science Fiction,War,Historical,Literature,Novels,Science Fiction,Fantasy,Literature"
We Were Liars (Kindle Edition),E. Lockhart,2014,3.72,946512,"Young Adult,Mystery,Contemporary,Fiction,Romance,Thriller,Thriller,Realistic Fiction,Audiobook,Young Adult"
Catch-22 (Paperback),Joseph Heller,1961,3.99,791741,"Classics,Fiction,Historical,War,Humor,Literature,Novels,Literature,Unfinished,Historical"
Becoming (Hardcover),Michelle Obama,2018,4.48,891724,"Nonfiction,Autobiography,Biography,Audiobook,Biography,Politics,Biography Memoir,Feminism,History,Adult"
Verity (Paperback),Colleen Hoover,2018,4.4,1385788,"Thriller,Romance,Mystery,Fiction,Thriller,Contemporary,Suspense,Adult,Audiobook,Dark"
The Power of Habit: Why We Do What We Do in Life and Business (Hardcover),Charles Duhigg,2012,4.13,452162,"Nonfiction,Self Help,Psychology,Business,Self Help,Productivity,Audiobook,Science,Leadership,Sociology"
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,2005,4.29,2578845,"Fantasy,Young Adult,Fantasy,Fiction,Childrens,Adventure,Childrens,Mythology,Fantasy,Audiobook"
"The Selection (The Selection, #1)",Kiera Cass,2012,4.1,1327475,"Young Adult,Romance,Science Fiction,Fantasy,Fiction,Science Fiction,Audiobook,Young Adult,Young Adult,Womens Fiction"
A Little Life (Hardcover),Hanya Yanagihara,2015,4.34,401718,"Fiction,Contemporary,LGBT,Literary Fiction,Adult,LGBT,Health,Novels,Audiobook,Adult Fiction"
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,2011,3.92,1164254,"Fantasy,Young Adult,Fiction,Fantasy,Mystery,Horror,Historical,Science Fiction,Fantasy,Adventure"
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change (Paperback),Stephen R. Covey,1988,4.15,668920,"Self Help,Nonfiction,Business,Self Help,Psychology,Leadership,Productivity,Business,Audiobook,Philosophy"
The Shining (Paperback),Stephen King,1977,4.26,1342275,"Horror,Fiction,Thriller,Classics,Fantasy,Fantasy,Mystery,Adult,Suspense,Audiobook"
Gone with the Wind (Mass Market Paperback),Margaret Mitchell,1936,4.3,1164808,"Classics,Historical,Fiction,Romance,Historical,War,Literature,Military History,Romance,Novels"
Memoirs of a Geisha (Mass Market Paperback),Arthur Golden,1997,4.14,1895831,"Fiction,Historical,Romance,Historical,Classics,Cultural,Adult,Novels,Cultural,Adult Fiction"
"Me Before You (Me Before You, #1)",Jojo Moyes,2012,4.26,1452753,"Romance,Fiction,Contemporary,Womens Fiction,Adult,Adult Fiction,Audiobook,Romance,Drama,Realistic Fiction"
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,2012,4.13,838783,"Fantasy,Young Adult,Science Fiction,Romance,Science Fiction,Retellings,Fiction,Fantasy,Audiobook,Young Adult"
Lolita (Paperback),Vladimir Nabokov,1955,3.88,770594,"Classics,Fiction,Literature,Novels,Cultural,Romance,Literature,Literary Fiction,Literature,Adult"
The Princess Bride (Paperback),William Goldman,1973,4.26,855815,"Fantasy,Classics,Fiction,Romance,Humor,Young Adult,Adventure,Humor,Science Fiction Fantasy,Fantasy"
Malibu Rising (Hardcover),Taylor Jenkins Reid,2021,4.08,641946,"Fiction,Historical,Contemporary,Audiobook,Romance,Adult,Historical,Adult Fiction,Family,Womens Fiction"
The Bell Jar (Paperback),Sylvia Plath,1963,4.04,779574,"Classics,Fiction,Feminism,Health,Psychology,Literature,Mental Health,Novels,Poetry,Literary Fiction"
A Tale of Two Cities (Paperback),Charles Dickens,1859,3.86,895036,"Classics,Fiction,Historical,Literature,Historical,Novels,Academic,Classics,Literature,European Literature"
Dracula (Paperback),Bram Stoker,1897,4.01,1134589,"Classics,Horror,Fiction,Fantasy,Paranormal,Gothic,Fantasy,Literature,Audiobook,Literature"
Ugly Love (Kindle Edition),Colleen Hoover,2014,4.19,1037641,"Romance,New Adult,Contemporary,Fiction,Romance,Adult,Audiobook,Womens Fiction,Young Adult,Love"
Daisy Jones & The Six (Hardcover),Taylor Jenkins Reid,2019,4.24,787317,"Fiction,Historical,Audiobook,Contemporary,Romance,Adult,Historical,Music,Adult Fiction,Literary Fiction"
The Nightingale (Hardcover),Kristin Hannah,2015,4.6,1023248,"Historical,Fiction,Historical,War,War,Audiobook,Adult,Romance,Cultural,Adult Fiction"
A Thousand Splendid Suns (Hardcover),Khaled Hosseini,2007,4.41,1381069,"Fiction,Historical,Contemporary,Historical,Novels,War,Classics,Adult,Adult Fiction,Drama"
The Count of Monte Cristo (Paperback),Alexandre Dumas,1844,4.28,847735,"Classics,Fiction,Historical,Adventure,Literature,Historical,Cultural,Novels,Classics,Romance"
The Goldfinch (Hardcover),Donna Tartt,2013,3.93,840687,"Fiction,Contemporary,Literary Fiction,Audiobook,Art,Mystery,Adult,Novels,Adult Fiction,Literature"
Sense and Sensibility (Paperback),Jane Austen,1811,4.08,1100855,"Classics,Fiction,Romance,Historical,Literature,Historical,Audiobook,Literature,Classics,European Literature"
Beach Read (Paperback),Emily Henry,2020,4.05,648687,"Romance,Contemporary,Fiction,Adult,Romance,Womens Fiction,Audiobook,Adult Fiction,Writing,New Adult"
"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,2012,3.95,792767,"Fantasy,Young Adult,Romance,Fiction,Young Adult,Fantasy,Fantasy,Adventure,Audiobook,Fantasy"
Little Fires Everywhere (Hardcover),Celeste Ng,2017,4.09,1018410,"Fiction,Contemporary,Audiobook,Adult,Literary Fiction,Adult Fiction,Book Club,Novels,Mystery,Family"
Life of Pi (Paperback),Yann Martel,2001,3.93,1517651,"Fiction,Fantasy,Classics,Adventure,Contemporary,Magical Realism,Novels,Literature,Cultural,Philosophy"
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones (Kindle Edition),James Clear,2018,4.38,497961,"Nonfiction,Self Help,Psychology,Self Help,Productivity,Audiobook,Business,Leadership,Science,Health"
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,1954,4.38,2633707,"Fantasy,Classics,Fiction,Adventure,Fantasy,Science Fiction Fantasy,Fantasy,Audiobook,Young Adult,Novels"
Quiet: The Power of Introverts in a World That Can't Stop Talking (Hardcover),Susan Cain,2012,4.07,395785,"Nonfiction,Psychology,Self Help,Science,Business,Audiobook,Self Help,Sociology,Leadership,Adult"
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,2012,4.19,920696,"Fantasy,Young Adult,Romance,Fiction,Young Adult,Fantasy,Fantasy,New Adult,Fairies,Adventure"
The Lovely Bones (Mass Market Paperback),Alice Sebold,2002,3.84,2225889,"Fiction,Mystery,Young Adult,Contemporary,Fantasy,Mystery,Thriller,Adult,Adult Fiction,Drama"
It (Paperback),Stephen King,1984,4.25,988543,"Horror,Fiction,Thriller,Fantasy,Audiobook,Classics,Mystery,Adult,Fantasy,Fantasy"
Looking for Alaska (Paperback),John Green,2005,3.98,1425919,"Young Adult,Fiction,Contemporary,Romance,Realistic Fiction,Young Adult,Young Adult,Mystery,Young Adult,Young Adult"
Normal People (Hardcover),Sally Rooney,2018,3.82,989008,"Fiction,Contemporary,Romance,Literary Fiction,Audiobook,Adult,Cultural,Novels,Adult Fiction,Young Adult"
The Little Prince (Paperback),Antoine de Saint-Exupéry,1943,4.32,1825741,"Classics,Fiction,Fantasy,Childrens,Cultural,Philosophy,Young Adult,Literature,Childrens,European Literature"
Man's Search for Meaning (Paperback),Viktor E. Frankl,1946,4.37,586161,"Nonfiction,Psychology,Philosophy,History,Self Help,Autobiography,Biography,Classics,Spirituality,World War II"
Of Mice and Men (Paperback),John Steinbeck,1937,3.88,2312570,"Classics,Fiction,Academic,Historical,Literature,Academic,Novels,Young Adult,Literature,Historical"
The Secret History (Paperback),Donna Tartt,1992,4.17,504441,"Fiction,Mystery,Contemporary,Classics,Thriller,Literary Fiction,Thriller,Adult,Mystery,Novels"
"Eat, Pray, Love (Paperback)",Elizabeth Gilbert,2006,3.61,1646388,"Nonfiction,Autobiography,Travel,Biography,Womens Fiction,Romance,Spirituality,Biography Memoir,Contemporary,Biography"
The Hating Game (Paperback),Sally  Thorne,2016,3.97,560281,"Romance,Contemporary,Romance,Fiction,Womens Fiction,Adult,Audiobook,New Adult,Humor,Adult Fiction"
They Both Die at the End (Hardcover),Adam Silvera,2017,3.83,542913,"Young Adult,LGBT,Romance,Contemporary,Fiction,LGBT,Audiobook,Fantasy,Science Fiction,LGBT"
The Tipping Point: How Little Things Can Make a Big Difference (Paperback),Malcolm Gladwell,2000,3.99,774408,"Nonfiction,Business,Psychology,Sociology,Self Help,Science,Economics,Audiobook,Leadership,Self Help"
Emma (Paperback),Jane Austen,1815,4.04,793565,"Classics,Fiction,Romance,Historical,Literature,Historical,Audiobook,Literature,Classics,Novels"
Fangirl (Kindle Edition),Rainbow Rowell,2013,3.98,700296,"Young Adult,Contemporary,Romance,Fiction,Realistic Fiction,New Adult,Audiobook,Young Adult,Young Adult,Womens Fiction"
The Love Hypothesis (Paperback),Ali Hazelwood,2021,4.26,808943,"Romance,Contemporary,Fiction,Romance,Adult,New Adult,Womens Fiction,Audiobook,Adult Fiction,Academic"
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,2019,4.36,433016,"Mystery,Young Adult,Thriller,Thriller,Fiction,Contemporary,Mystery,Audiobook,Mystery,Suspense"
The Vanishing Half (Hardcover),Brit Bennett,2020,4.18,630627,"Fiction,Historical,Contemporary,Audiobook,Literary Fiction,Race,Adult,Historical,Book Club,Adult Fiction"
"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,2017,3.99,628302,"Mystery,Young Adult,Contemporary,Thriller,Fiction,Thriller,Romance,Audiobook,Mystery,LGBT"
"The Maze Runner (The Maze Runner, #1)",James Dashner,2009,4.04,1342833,"Young Adult,Science Fiction,Science Fiction,Fiction,Fantasy,Adventure,Apocalyptic,Mystery,Young Adult,Audiobook"
"American Gods (American Gods, #1)",Neil Gaiman,2001,4.11,862152,"Fantasy,Fiction,Fantasy,Fantasy,Audiobook,Science Fiction,Science Fiction Fantasy,Adult,Contemporary,Horror"
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,2011,3.66,2351157,"Romance,Fiction,Adult Fiction,Adult,Erotica,Contemporary,Womens Fiction,Romance,Romance,Adult Fiction"
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,2007,4.52,862171,"Fantasy,Fiction,Fantasy,Fantasy,Fantasy,Science Fiction Fantasy,Adult,Adventure,Audiobook,Epic"
A Clockwork Orange (Paperback),Anthony Burgess,1962,4.0,668175,"Classics,Fiction,Science Fiction,Science Fiction,Literature,Horror,Novels,Classics,Mystery,European Literature"
The Guest List (Hardcover),Lucy Foley,2020,3.85,700337,"Mystery,Thriller,Fiction,Thriller,Audiobook,Suspense,Adult,Contemporary,Mystery,Adult Fiction"
"Outlander (Outlander, #1)",Diana Gabaldon,1991,4.25,964468,"Historical,Romance,Fantasy,Fiction,Science Fiction,Historical,Romance,Adult,Audiobook,Cultural"
Reminders of Him (Kindle Edition),Colleen Hoover,2022,4.5,612844,"Romance,Fiction,Contemporary,Romance,Adult,Audiobook,New Adult,Womens Fiction,Drama,Adult Fiction"
Never Let Me Go (Paperback),Kazuo Ishiguro,2005,3.84,599656,"Fiction,Science Fiction,Science Fiction,Contemporary,Literary Fiction,Romance,Novels,Adult,Classics,Literature"
Romeo and Juliet (Mass Market Paperback),William Shakespeare,1597,3.74,2398897,"Classics,Plays,Fiction,Romance,Academic,Drama,Academic,Literature,Young Adult,Poetry"
Book Lovers (Hardcover),Emily Henry,2022,4.25,467254,"Romance,Contemporary,Fiction,Romance,Adult,Audiobook,Womens Fiction,Writing,Adult Fiction,New Adult"
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,1969,4.28,487606,"Nonfiction,Classics,Autobiography,Biography,Biography,Poetry,Feminism,Biography Memoir,Cultural,Race"
The Stranger (Paperback),Albert Camus,1942,4.01,906424,"Classics,Fiction,Philosophy,Cultural,Literature,Novels,European Literature,Academic,Literary Fiction,Literature"
War and Peace (Paperback),Leo Tolstoy,1869,4.15,302714,"Classics,Fiction,Historical,Cultural,Literature,Literature,War,Novels,Historical,Literature"
"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,2018,4.28,747610,"Historical,Fiction,Historical,Audiobook,War,World War II,Romance,War,Adult,Book Club"
Paper Towns (Paperback),John Green,2008,3.73,1207559,"Young Adult,Fiction,Contemporary,Romance,Mystery,Realistic Fiction,Young Adult,Young Adult,Adventure,Young Adult"
"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,2014,4.07,753963,"Romance,Young Adult,Contemporary,Fiction,Audiobook,Womens Fiction,Realistic Fiction,Young Adult,Young Adult,Young Adult"
Eleanor Oliphant Is Completely Fine (Paperback),Gail Honeyman,2017,4.25,1046289,"Fiction,Contemporary,Audiobook,Adult,Health,Adult Fiction,Romance,Book Club,Literary Fiction,Novels"
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,1962,3.99,1135669,"Fantasy,Fiction,Classics,Young Adult,Science Fiction,Childrens,Childrens,Science Fiction,Adventure,Science Fiction Fantasy"
All the Bright Places (Hardcover),Jennifer Niven,2015,4.14,480758,"Young Adult,Romance,Contemporary,Fiction,Health,Mental Health,Realistic Fiction,Audiobook,Young Adult,Young Adult"
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,2012,4.34,490629,"Young Adult,LGBT,Romance,Contemporary,Fiction,LGBT,Audiobook,Young Adult,Realistic Fiction,LGBT"
Into the Wild (Paperback),Jon Krakauer,1996,4.0,1012768,"Nonfiction,Biography,Travel,Adventure,Classics,Autobiography,Environment,Academic,Biography Memoir,Adventure"
The Odyssey (Paperback),Homer,700,3.79,989318,"Classics,Fiction,Poetry,Fantasy,Fantasy,Academic,Literature,Adventure,Academic,Historical"
The Last Thing He Told Me (Hardcover),Laura Dave,2021,3.87,583036,"Mystery,Fiction,Thriller,Audiobook,Thriller,Suspense,Contemporary,Adult,Adult Fiction,Mystery"
Sharp Objects (Paperback),Gillian Flynn,2006,4.01,878739,"Mystery,Fiction,Thriller,Thriller,Mystery,Suspense,Audiobook,Adult,Contemporary,Horror"
"Unbroken: A World War II Story of Survival, Resilience and Redemption (Hardcover)",Laura Hillenbrand,2010,4.37,879320,"Nonfiction,History,Biography,War,War,Historical,Audiobook,Autobiography,War,Biography Memoir"
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,2010,4.32,779441,"Fantasy,Young Adult,Romance,Fantasy,Science Fiction,Historical,Fiction,Fantasy,Paranormal,Historical"
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,1950,4.23,2539210,"Fantasy,Classics,Fiction,Young Adult,Childrens,Childrens,Adventure,Christian,Fantasy,Christian Fiction"
The Glass Castle (Paperback),Jeannette Walls,2005,4.3,1077998,"Nonfiction,Autobiography,Biography,Biography Memoir,Biography,Book Club,Adult,Audiobook,Academic,Contemporary"
The Immortal Life of Henrietta Lacks (Hardcover),Rebecca Skloot,2010,4.1,677180,"Nonfiction,Science,History,Biography,Health,Audiobook,Medical,Book Club,Biography Memoir,Historical"
"If I Stay (If I Stay, #1)",Gayle Forman,2009,3.93,832307,"Young Adult,Romance,Contemporary,Fiction,Realistic Fiction,Young Adult,Music,Death,Audiobook,Drama"
"The Notebook (The Notebook, #1)",Nicholas Sparks,1996,4.13,1550526,"Romance,Fiction,Womens Fiction,Contemporary,Adult,Adult Fiction,Classics,Romance,Love,Drama"
Outliers: The Story of Success (Hardcover),Malcolm Gladwell,2008,4.19,705875,"Nonfiction,Psychology,Business,Self Help,Sociology,Science,Audiobook,Self Help,Economics,Leadership"
The Color Purple (Paperback),Alice Walker,1982,4.25,615925,"Classics,Fiction,Historical,Feminism,LGBT,Historical,Cultural,Literature,LGBT,Novels"
The Grapes of Wrath (Hardcover),John Steinbeck,1939,3.99,845385,"Classics,Fiction,Historical,Literature,Novels,Academic,Literature,Historical,Classics,Young Adult"
East of Eden (Paperback),John Steinbeck,1952,4.4,490224,"Classics,Fiction,Historical,Literature,Novels,Literature,Literary Fiction,Historical,Classics,Literature"
"Beautiful World, Where Are You (Hardcover)",Sally Rooney,2021,3.58,269733,"Fiction,Contemporary,Romance,Literary Fiction,Audiobook,Adult,Cultural,Novels,Adult Fiction,European Literature"
Charlotte's Web (Paperback),E.B. White,1952,4.19,1678136,"Classics,Fiction,Childrens,Fantasy,Young Adult,Childrens,Animals,Academic,Childrens,Childrens"
When Breath Becomes Air (Kindle Edition),Paul Kalanithi,2016,4.39,557947,"Nonfiction,Autobiography,Biography,Health,Medical,Audiobook,Biography,Biography Memoir,Philosophy,Science"
"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,2020,4.28,345225,"Fantasy,Romance,New Adult,Romance,Paranormal,Fantasy,Fiction,Young Adult,Adult,Fantasy"
Dark Places (Hardcover),Gillian Flynn,2009,3.95,678704,"Mystery,Fiction,Thriller,Thriller,Mystery,Suspense,Adult,Audiobook,Horror,Contemporary"
The Martian (Hardcover),Andy Weir,2011,4.41,1000188,"Science Fiction,Fiction,Audiobook,Adventure,Space,Adult,Science Fiction Fantasy,Thriller,Humor,Adventure"
The Unhoneymooners (Paperback),Christina Lauren,2019,3.97,557196,"Romance,Contemporary,Fiction,Romance,Adult,Womens Fiction,Audiobook,New Adult,Adult Fiction,Humor"
