mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0066661834716796875,0.0004712029827530087,0.0020001729329427085,7.867411722033553e-07,0.6,0.5,0.0001,3,5,15,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 15, 'subsample': 1.0}",0.9222797927461139,0.9196891191709845,0.9168831168831169,0.919617342933405,0.002203768206772907,6400
0.01799925168355306,2.9736021254650284e-07,0.0016669432322184246,0.00047165142312590325,0.6,0.5,0.0001,3,5,50,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 50, 'subsample': 0.6}",0.9248704663212435,0.9119170984455959,0.9116883116883117,0.9161586254850503,0.006160909776510228,7824
0.018666664759318035,0.0009427969485089361,0.0020001729329427085,5.619579801452538e-07,0.6,0.5,0.0001,3,5,50,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9248704663212435,0.917098445595855,0.9168831168831169,0.919617342933405,0.003715559231979604,6400
0.018332878748575848,0.0012475323833802969,0.0013341903686523438,0.0004718766078166204,0.6,0.5,0.0001,3,5,50,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 50, 'subsample': 1.0}",0.9248704663212435,0.917098445595855,0.9116883116883117,0.9178857412018034,0.005410309662732852,7170
0.0323336124420166,0.00047120177640471074,0.0016663074493408203,0.0004715389511856095,0.6,0.5,0.0001,3,5,100,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.6}",0.9248704663212435,0.9119170984455959,0.9116883116883117,0.9161586254850503,0.006160909776510228,7824
0.03799994786580404,0.006480087039479969,0.002000093460083008,1.9466795466607238e-07,0.6,0.5,0.0001,3,5,100,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.8}",0.927461139896373,0.917098445595855,0.9168831168831169,0.9204809007917816,0.004936557172874139,6069
0.030999183654785156,0.0008165348924815489,0.0020004908243815103,2.9736021254650284e-07,0.6,0.5,0.0001,3,5,100,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 1.0}",0.9222797927461139,0.917098445595855,0.9168831168831169,0.9187537850750286,0.002494813177514089,6740
0.004999558130900065,8.778064264605254e-07,0.0013338724772135417,0.0004710898674658932,0.6,0.5,0.0001,3,10,5,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 5, 'subsample': 0.6}",0.9248704663212435,0.9041450777202072,0.9168831168831169,0.9152995536415225,0.008534876979042608,7943
0.005333264668782552,0.0004723259330368765,0.0016665458679199219,0.00047221338099847975,0.6,0.5,0.0001,3,10,5,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 5, 'subsample': 0.8}",0.9222797927461139,0.9041450777202072,0.9246753246753247,0.9170333983805485,0.009165742391783423,7272
0.004333019256591797,0.0004708646821047274,0.0023342768351236978,0.00047227012844564464,0.6,0.5,0.0001,3,10,5,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.0001, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 5, 'subsample': 1.0}",0.9119170984455959,0.9041450777202072,0.935064935064935,0.917042370410246,0.013132928185501288,7251
