,Title,Author,Year,Rating,Raters,Genres
48,The Final Girl Support Group (Hardcover),Grady Hendrix,2021,3.56,81229,"Horror,Thriller,Fiction,Mystery,Thriller,Adult,Audiobook,Contemporary,Suspense,Adult Fiction"
49,The Institute (Hardcover),Stephen King,2019,4.2,216575,"Horror,Fiction,Thriller,Science Fiction,Fantasy,Audiobook,Mystery,Fantasy,Thriller,Adult"
52,The Shining (Paperback),Stephen King,1977,4.26,1341741,"Horror,Fiction,Thriller,Classics,Fantasy,Fantasy,Mystery,Adult,Suspense,Audiobook"
53,It (Paperback),Stephen King,1984,4.25,988105,"Horror,Fiction,Thriller,Fantasy,Audiobook,Classics,Mystery,Adult,Fantasy,Fantasy"
54,Dracula (Paperback),Bram Stoker,1897,4.01,1134008,"Classics,Horror,Fiction,Fantasy,Paranormal,Gothic,Fantasy,Literature,Audiobook,Literature"
55,Carrie (Mass Market Paperback),Stephen King,1974,3.98,636366,"Horror,Fiction,Thriller,Fantasy,Fantasy,Classics,Adult,Fantasy,Novels,Audiobook"
56,Pet Sematary (Kindle Edition),Stephen King,1983,4.04,521134,"Horror,Fiction,Thriller,Fantasy,Audiobook,Fantasy,Adult,Fantasy,Mystery,Suspense"
57,Frankenstein: The 1818 Text (Paperback),Mary Wollstonecraft Shelley,1818,3.84,1410350,"Classics,Fiction,Horror,Science Fiction,Gothic,Fantasy,Academic,Literature,Novels,Academic"
58,The Haunting of Hill House (Paperback),Shirley Jackson,1959,3.83,243022,"Horror,Classics,Fiction,Gothic,Mystery,Fantasy,Audiobook,Thriller,Paranormal,Adult"
59,'Salem's Lot (Paperback),Stephen King,1975,4.05,402829,"Horror,Fiction,Paranormal,Fantasy,Thriller,Fantasy,Fantasy,Audiobook,Adult,Mystery"
60,Misery (Paperback),Stephen King,1987,4.2,611742,"Horror,Fiction,Thriller,Suspense,Mystery,Adult,Thriller,Audiobook,Novels,Mystery"
61,The Stand (Hardcover),Stephen King,1978,4.34,706236,"Horror,Fiction,Fantasy,Science Fiction,Apocalyptic,Thriller,Science Fiction,Audiobook,Science Fiction,Classics"
62,Mexican Gothic (Hardcover),Silvia Moreno-Garcia,2020,3.68,268575,"Horror,Fiction,Historical,Gothic,Mystery,Fantasy,Thriller,Adult,Audiobook,Historical"
63,House of Leaves (Paperback),Mark Z. Danielewski,2000,4.09,150128,"Horror,Fiction,Fantasy,Mystery,Thriller,Contemporary,Novels,Adult,Literature,Fantasy"
64,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,1976,4.01,544469,"Horror,Fantasy,Fiction,Paranormal,Fantasy,Classics,Gothic,Fantasy,Fantasy,Historical"
65,"Doctor Sleep (The Shining, #2)",Stephen King,2013,4.12,234909,"Horror,Fiction,Thriller,Fantasy,Fantasy,Audiobook,Fantasy,Mystery,Suspense,Adult"
66,World War Z: An Oral History of the Zombie War (Hardcover),Max Brooks,2006,4.01,491848,"Horror,Fiction,Horror,Science Fiction,Fantasy,Apocalyptic,Science Fiction,Audiobook,Science Fiction,War"
67,We Have Always Lived in the Castle (Paperback),Shirley Jackson,1962,3.96,176206,"Horror,Classics,Fiction,Gothic,Mystery,Audiobook,Thriller,Adult,Thriller,Novels"
68,Cujo (Paperback),Stephen King,1981,3.76,260150,"Horror,Fiction,Thriller,Suspense,Animals,Adult,Audiobook,Fantasy,Novels,Animals"
69,NOS4A2 (Hardcover),Joe Hill,2013,4.08,117419,"Horror,Fiction,Fantasy,Thriller,Audiobook,Fantasy,Paranormal,Fantasy,Adult,Mystery"
70,The Exorcist (Mass Market Paperback),William Peter Blatty,1971,4.19,212433,"Horror,Fiction,Classics,Fantasy,Thriller,Fantasy,Fantasy,Religion,Audiobook,Adult"
71,"Bird Box (Bird Box, #1)",Josh Malerman,2014,4.04,171445,"Horror,Fiction,Thriller,Science Fiction,Mystery,Science Fiction,Apocalyptic,Audiobook,Adult,Suspense"
72,Coraline (Paperback),Neil Gaiman,2002,4.09,604767,"Fantasy,Horror,Fiction,Young Adult,Childrens,Childrens,Audiobook,Fantasy,Adventure,Mystery"
73,Heart-Shaped Box (Hardcover),Joe Hill,2007,3.84,124506,"Horror,Fiction,Thriller,Fantasy,Paranormal,Fantasy,Fantasy,Mystery,Audiobook,Adult"
74,Needful Things (Paperback),Stephen King,1991,3.95,233569,"Horror,Fiction,Thriller,Fantasy,Fantasy,Mystery,Fantasy,Audiobook,Suspense,Adult"
75,Christine (Paperback),Stephen King,1983,3.82,224579,"Horror,Fiction,Thriller,Fantasy,Fantasy,Fantasy,Mystery,Audiobook,Suspense,Adult"
76,Dr. Jekyll and Mr. Hyde (Paperback),Robert Louis Stevenson,1886,3.83,496997,"Classics,Horror,Fiction,Science Fiction,Mystery,Gothic,Fantasy,Literature,Academic,Literature"
77,The Southern Book Club's Guide to Slaying Vampires (Kindle Edition),Grady Hendrix,2020,3.82,149430,"Horror,Fiction,Fantasy,Paranormal,Audiobook,Fantasy,Thriller,Adult,Mystery,Fantasy"
78,Let the Right One In (Hardcover),John Ajvide Lindqvist,2004,4.04,102939,"Horror,Fiction,Paranormal,Fantasy,Fantasy,Thriller,Fantasy,Mystery,Cultural,European Literature"
79,Night Shift (Paperback),Stephen King,1978,4.02,166667,"Horror,Short Stories,Fiction,Thriller,Fantasy,Mystery,Anthologies,Fantasy,Suspense,Fantasy"
80,The Only Good Indians (Hardcover),Stephen Graham Jones,2020,3.72,56227,"Horror,Fiction,Thriller,Audiobook,Adult,Fantasy,Mystery,Fantasy,Contemporary,Thriller"
81,The Outsider (Hardcover),Stephen King,2018,3.99,253222,"Horror,Fiction,Thriller,Mystery,Mystery,Audiobook,Thriller,Fantasy,Fantasy,Suspense"
82,"Rosemary's Baby (Rosemary's Baby, #1)",Ira Levin,1967,4.02,128417,"Horror,Fiction,Classics,Thriller,Mystery,Fantasy,Fantasy,Audiobook,Fantasy,Suspense"
83,A Head Full of Ghosts (Hardcover),Paul Tremblay,2015,3.8,66989,"Horror,Fiction,Thriller,Mystery,Fantasy,Audiobook,Adult,Suspense,Fantasy,Thriller"
84,Firestarter (Mass Market Paperback),Stephen King,1980,3.91,212755,"Horror,Fiction,Thriller,Science Fiction,Fantasy,Fantasy,Suspense,Fantasy,Adult,Audiobook"
85,The Dead Zone (Mass Market Paperback),Stephen King,1979,3.95,207046,"Horror,Fiction,Thriller,Fantasy,Science Fiction,Fantasy,Mystery,Fantasy,Suspense,Audiobook"
86,Horrorstör (Paperback),Grady Hendrix,2014,3.66,62581,"Horror,Fiction,Humor,Mystery,Fantasy,Thriller,Adult,Fantasy,Audiobook,Paranormal"
87,Cell (Mass Market Paperback),Stephen King,2006,3.66,211484,"Horror,Fiction,Horror,Thriller,Science Fiction,Apocalyptic,Fantasy,Science Fiction,Science Fiction,Suspense"
88,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,1988,4.23,519619,"Horror,Fiction,Thriller,Mystery,Mystery,Classics,Thriller,Suspense,Novels,Adult"
89,"The Girl with All the Gifts (The Girl with All the Gifts, #1)",M.R. Carey,2014,3.95,211452,"Horror,Fiction,Science Fiction,Horror,Science Fiction,Apocalyptic,Fantasy,Audiobook,Thriller,Adult"
90,My Best Friend's Exorcism (Kindle Edition),Grady Hendrix,2016,3.97,72216,"Horror,Fiction,Young Adult,Fantasy,Audiobook,Fantasy,Thriller,Fantasy,Adult,Humor"
91,Horns (Hardcover),Joe Hill,2009,3.93,108986,"Horror,Fiction,Fantasy,Thriller,Mystery,Fantasy,Fantasy,Adult,Audiobook,Adult Fiction"
92,The Troop (Hardcover),Nick Cutter,2014,3.83,53685,"Horror,Fiction,Thriller,Science Fiction,Audiobook,Adult,Mystery,Adventure,Thriller,Adult Fiction"
93,The Picture of Dorian Gray (Paperback),Oscar Wilde,1890,4.11,1289519,"Fiction,Classics,Horror,Fantasy,Gothic,Literature,Novels,Literature,LGBT,Classics"
94,The Turn of the Screw (Paperback),Henry James,1898,3.4,137125,"Classics,Horror,Fiction,Gothic,Mystery,Audiobook,Literature,Literature,Paranormal,Fantasy"
95,"Something Wicked This Way Comes (Green Town, #2)",Ray Bradbury,1962,3.92,119175,"Horror,Fantasy,Fiction,Classics,Science Fiction,Young Adult,Holiday,Audiobook,Mystery,Science Fiction Fantasy"
96,Bag of Bones (Paperback),Stephen King,1998,3.91,188103,"Horror,Fiction,Thriller,Mystery,Fantasy,Fantasy,Suspense,Fantasy,Paranormal,Audiobook"
97,The Tommyknockers (Mass Market Paperback),Stephen King,1987,3.58,141437,"Horror,Fiction,Science Fiction,Thriller,Fantasy,Science Fiction,Fantasy,Fantasy,Suspense,Audiobook"
98,Thinner (Mass Market Paperback),Richard Bachman,1984,3.76,195751,"Horror,Fiction,Thriller,Fantasy,Fantasy,Fantasy,Mystery,Suspense,Audiobook,Novels"
99,Under the Dome (Hardcover),Stephen King,2009,3.91,282704,"Horror,Fiction,Science Fiction,Thriller,Fantasy,Mystery,Audiobook,Suspense,Adult,Science Fiction"
100,The Final Girl Support Group (Hardcover),Grady Hendrix,2021,3.56,81229,"Horror,Thriller,Fiction,Mystery,Thriller,Adult,Audiobook,Contemporary,Suspense,Adult Fiction"
101,The Institute (Hardcover),Stephen King,2019,4.2,216575,"Horror,Fiction,Thriller,Science Fiction,Fantasy,Audiobook,Mystery,Fantasy,Thriller,Adult"
104,The Shining (Paperback),Stephen King,1977,4.26,1341747,"Horror,Fiction,Thriller,Classics,Fantasy,Fantasy,Mystery,Adult,Suspense,Audiobook"
105,It (Paperback),Stephen King,1984,4.25,988105,"Horror,Fiction,Thriller,Fantasy,Audiobook,Classics,Mystery,Adult,Fantasy,Fantasy"
106,Dracula (Paperback),Bram Stoker,1897,4.01,1134008,"Classics,Horror,Fiction,Fantasy,Paranormal,Gothic,Fantasy,Literature,Audiobook,Literature"
107,Carrie (Mass Market Paperback),Stephen King,1974,3.98,636366,"Horror,Fiction,Thriller,Fantasy,Fantasy,Classics,Adult,Fantasy,Novels,Audiobook"
108,Pet Sematary (Kindle Edition),Stephen King,1983,4.04,521134,"Horror,Fiction,Thriller,Fantasy,Audiobook,Fantasy,Adult,Fantasy,Mystery,Suspense"
109,Frankenstein: The 1818 Text (Paperback),Mary Wollstonecraft Shelley,1818,3.84,1410350,"Classics,Fiction,Horror,Science Fiction,Gothic,Fantasy,Academic,Literature,Novels,Academic"
110,The Haunting of Hill House (Paperback),Shirley Jackson,1959,3.83,243027,"Horror,Classics,Fiction,Gothic,Mystery,Fantasy,Audiobook,Thriller,Paranormal,Adult"
