,Title,Author,Author Average Rating,Rating,Raters,Genres
29,"Furyborn (Empirium, #1)",Claire Legrand,3.85,3.82,40286,"Fantasy,Young Adult,Young Adult,Romance,Fiction,Fantasy,Fantasy,New Adult,Audiobook,Paranormal"
30,A Fine Balance (Paperback),Rohinton Mistry,4.28,4.37,141709,"Fiction,Historical,Cultural,Asian Literature,Cultural,Literary Fiction,Cultural,Novels,Historical,Literature"
31,The Ultimates 3: Who Killed the Scarlet Witch?,Jeph Loeb,4.11,2.41,958,"Sequential Art,Sequential Art,Superheroes,Comics,Comics,Fiction,Graphic Novels Comics,Science Fiction,Comics Manga,Fantasy"
32,Fight Club (Paperback),Chuck Palahniuk,3.84,4.19,551186,"Fiction,Classics,Contemporary,Thriller,Novels,Mystery,Adult,Literature,Literature,Adult Fiction"
33,North and South (Paperback),Elizabeth Gaskell,4.01,4.14,159774,"Classics,Fiction,Romance,Historical,Historical,Literature,Historical,Literature,Romance,Audiobook"
34,"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,4.09,4.37,425465,"Fantasy,Young Adult,Romance,Fairies,Young Adult,Fiction,Fantasy,Audiobook,Romance,Paranormal"
35,"Guns, Germs, and Steel: The Fates of Human Societies (Paperback)",Jared Diamond,4.01,4.04,374598,"History,Nonfiction,Science,Anthropology,Sociology,Politics,Economics,Historical,History,Audiobook"
36,Passenger to Frankfurt,Agatha Christie,4.02,2.88,11526,"Mystery,Fiction,Mystery,Classics,Thriller,Mystery,Thriller,European Literature,Suspense,Novels"
37,Beautiful Broken Girls,Kim  Savage,3.16,2.7,854,"Young Adult,Mystery,Contemporary,Thriller,Thriller,Fiction,Young Adult,Suspense,Magical Realism,Young Adult"
38,Confessions of a Counterfeit Farm Girl: A Memoir,Susan McCorkindale,2.9,2.78,1256,"Nonfiction,Autobiography,Humor,Womens Fiction,Biography,Biography,Biography Memoir,Family,Unfinished,Animals"
39,The BFG (Paperback),Roald Dahl,4.14,4.22,446256,"Fantasy,Childrens,Fiction,Classics,Childrens,Young Adult,Humor,Adventure,Audiobook,Childrens"
40,Let's Pretend This Never Happened: A Mostly True Memoir (Hardcover),Jenny  Lawson,3.91,3.89,184312,"Nonfiction,Autobiography,Humor,Biography,Audiobook,Humor,Biography Memoir,Biography,Adult,Health"
41,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants (Hardcover)",Malcolm Gladwell,4.03,3.96,171094,"Nonfiction,Psychology,Business,Audiobook,Self Help,Sociology,Science,Leadership,History,Self Help"
42,The Diagnosis,Alan Lightman,3.81,2.85,1070,"Fiction,Novels,Literature,Contemporary,Unfinished,Adult,Literature,Book Club,Literary Fiction,Health"
43,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.04,4.13,1826597,"Fiction,Classics,Science Fiction,Science Fiction,Feminism,Fantasy,Adult,Audiobook,Literature,Novels"
44,Leaving Isn't the Hardest Thing,Lauren  Hough,3.27,3.27,8713,"Autobiography,Nonfiction,Writing,LGBT,LGBT,Audiobook,Religion,Biography,Feminism,Religion"
45,Romeo and Juliet (Mass Market Paperback),William Shakespeare,3.86,3.74,2405535,"Classics,Plays,Fiction,Romance,Academic,Drama,Academic,Literature,Young Adult,Poetry"
46,Loveless (Paperback),Alice Oseman,4.5,4.28,61523,"Contemporary,LGBT,Young Adult,LGBT,Fiction,Romance,Audiobook,Young Adult,Young Adult,LGBT"
47,Belle in the Big Apple: A Novel with Recipes,Brooke Parkhurst,3.35,2.23,165,"Fiction,Womens Fiction"
48,Chicago: A Novel of Prohibition,David Mamet,3.83,2.92,1333,"Fiction,Historical,Mystery,Mystery,Historical,Literature,Thriller,Novels,Thriller,Literary Fiction"
49,"The Great Corruption (Uncanny X-Force, #3)",Sam Humphries,3.62,2.96,205,"Sequential Art,Superheroes,Marvel,Sequential Art,Comics,Graphic Novels Comics,Comics,Fiction"
50,Art and Fear: Observations on the Perils (and Rewards) of Artmaking,David Bayles,3.76,3.76,84309,"Art,Nonfiction,Language,Self Help,Philosophy,Psychology,Design,Art,Art,Self Help"
51,Seven Days in June (Hardcover),Tia Williams,4.08,4.08,87573,"Romance,Fiction,Contemporary,Romance,Adult,Audiobook,Adult Fiction,Womens Fiction,Writing,Cultural"
52,The Invention of Wings (Hardcover),Sue Monk Kidd,4.07,4.25,298838,"Historical,Fiction,Historical,Book Club,Audiobook,Adult,Adult Fiction,Novels,Literary Fiction,Cultural"
53,Norse Mythology (Paperback),Neil Gaiman,4.14,4.1,284785,"Fantasy,Fantasy,Fiction,Audiobook,Short Stories,Historical,Classics,Adult,Retellings,Religion"
54,"It Starts with Us (It Ends with Us, #2)",Colleen Hoover,4.24,4.05,381289,"Romance,Fiction,Contemporary,Adult,Audiobook,Romance,New Adult,Womens Fiction,Love,Young Adult"
55,Notes from Underground (Paperback),Fyodor Dostoevsky,4.19,4.17,122066,"Classics,Fiction,Philosophy,Cultural,Literature,Literature,Novels,Literature,Psychology,Literary Fiction"
56,Writers & Lovers (Hardcover),Lily King,3.94,4.05,111960,"Fiction,Contemporary,Romance,Literary Fiction,Audiobook,Adult,Adult Fiction,Novels,Language,Writing"
57,Where the Sidewalk Ends (Hardcover),Shel Silverstein,4.34,4.32,1312130,"Poetry,Childrens,Classics,Fiction,Humor,Young Adult,Childrens,Childrens,Childrens,Fantasy"
58,Lore (Hardcover),Alexandra Bracken,4.09,3.79,67359,"Fantasy,Fantasy,Young Adult,Mythology,Fiction,Young Adult,Retellings,Fantasy,Romance,Fantasy"
59,Perfume: The Story of a Murderer (Paperback),Patrick Süskind,4.01,4.03,409876,"Fiction,Classics,Historical,Horror,Mystery,Thriller,Mystery,Historical,European Literature,Novels"
