Title,Author,Year,Rating,Raters
The Bloody Chamber and Other Stories (Paperback),Angela Carter,Missing,3.95,48854
The Death of Jane Lawrence (Hardcover),Caitlin  Starling,Missing,3.20,12173
"Gwendy's Button Box (The Button Box, #1)",Stephen King,Missing,3.92,58963
The Lottery and Other Stories (Paperback),Shirley Jackson,Missing,4.05,71228
Intensity (Paperback),Dean Koontz,Missing,4.04,79338
Battle Royale (Paperback),Koushun Takami,Missing,4.25,67102
Night Film (Paperback),Marisha Pessl,Missing,3.78,85371
Hide (Hardcover),Kiersten White,Missing,3.34,16022
Sawkill Girls (Hardcover),Claire Legrand,Missing,3.68,15711
"Preludes & Nocturnes (The Sandman, #1)",Neil Gaiman,Missing,4.24,247935
"Keys to the Kingdom (Locke & Key, #4)",Joe Hill,Missing,4.38,33678
The Hacienda (Hardcover),Isabel Cañas,Missing,3.86,18146
"Small Spaces (Small Spaces, #1)",Katherine Arden,Missing,4.02,20607
The Raven (Paperback),Edgar Allan Poe,Missing,4.29,124745
The Cask of Amontillado - an Edgar Allan Poe Short Story (Paperback),Edgar Allan Poe,Missing,4.09,71546
The Willows (Paperback),Algernon Blackwood,Missing,4.09,10622
Horrid (Hardcover),Katrina Leno,Missing,3.58,11490
The Damnation Game (Mass Market Paperback),Clive Barker,Missing,3.82,19114
The Haunting of Ashburn House (Kindle Edition),Darcy Coates,Missing,3.95,18035
Necroscope (Necroscope #1),Brian Lumley,Missing,4.01,20056
Cabal (Paperback),Clive Barker,Missing,3.93,19610
The Lost Village (Hardcover),Camilla Sten,Missing,3.55,21362
The Stepford Wives (Paperback),Ira Levin,Missing,3.81,35281
The Omen (Paperback),David Seltzer,Missing,4.03,64478
"Clockworks (Locke & Key, #5)",Joe Hill,Missing,4.47,31884
Exquisite Corpse (Paperback),Poppy Z. Brite,Missing,3.78,12952
"End of Watch (Bill Hodges Trilogy, #3)",Stephen King,Missing,4.09,105328
Missing,Missing,Missing,0,0
Missing,Missing,Missing,0,0
The Grip of It (Paperback),Jac Jemc,Missing,3.22,9748
Comfort Me With Apples (Hardcover),Catherynne M. Valente,Missing,3.62,14338
Fever Dream (Hardcover),Samanta Schweblin,Missing,3.74,29826
The Eyes of the Dragon (Paperback),Stephen King,Missing,3.94,117279
"The Vampire Armand (The Vampire Chronicles, #6)",Anne Rice,Missing,3.78,67106
The Little Stranger (Paperback),Sarah Waters,Missing,3.56,51602
Baby Teeth (Hardcover),Zoje Stage,Missing,3.62,54288
"Finders Keepers (Bill Hodges Trilogy, #2)",Stephen King,Missing,4.05,130467
Broken Monsters (Paperback),Lauren Beukes,Missing,3.59,21447
The Other (Mass Market Paperback),Thomas Tryon,Missing,3.99,21178
"Dread Nation (Dread Nation, #1)",Justina Ireland,Missing,4.14,29712
The Changeling (Hardcover),Victor LaValle,Missing,3.78,16898
"I Am Not a Serial Killer (John Cleaver, #1)",Dan Wells,Missing,3.79,35025
The Grownup (Hardcover),Gillian Flynn,Missing,3.56,117318
"The Night Eternal (The Strain Trilogy, #3)",Guillermo del Toro,Missing,3.70,28604
Weaveworld (Paperback),Clive Barker,Missing,4.13,30720
The Great and Secret Show (Book of the Art #1),Clive Barker,Missing,4.06,29628
The Invited (Hardcover),Jennifer  McMahon,Missing,3.81,23672
White Is for Witching (Hardcover),Helen Oyeyemi,Missing,3.56,10216
"The Rats (Rats, #1)",James Herbert,Missing,3.93,19804
Fevre Dream (Paperback),George R.R. Martin,Missing,3.89,25776
"Uzumaki: Spiral into Horror, Vol. 1 (Paperback)",Junji Ito,Missing,4.36,21587
"Alpha & Omega (Locke & Key, #6)",Joe Hill,Missing,4.48,29557
Full Throttle (Hardcover),Joe Hill,Missing,4.01,14400
"Warm Bodies (Warm Bodies, #1)",Isaac Marion,Missing,3.91,102797
There's Someone Inside Your House (Hardcover),Stephanie Perkins,Missing,3.40,32441
"Off Season (Dead River, #1)",Jack Ketchum,Missing,3.80,12376
"14 (Threshold, #1)",Peter Clines,Missing,3.96,34142
Summer Sons (Hardcover),Lee Mandelo,Missing,3.82,6168
"Wytches, Volume 1 (Paperback)",Scott Snyder,Missing,3.80,15099
At the Mountains of Madness and Other Tales of Terror (Mass Market Paperback),H.P. Lovecraft,Missing,4.26,23642
"Ninth House (Alex Stern, #1)",Leigh Bardugo,Missing,4.04,187707
