Title,Author,Year,Rating,Raters,Genres
Mexican Gothic (Hardcover),Silvia Moreno-Garcia,2020,3.68,268575,"Horror,Fiction,Historical,Gothic,Mystery,Fantasy,Thriller,Adult,Audiobook,Historical"
House of Leaves (Paperback),Mark Z. Danielewski,2000,4.09,150128,"Horror,Fiction,Fantasy,Mystery,Thriller,Contemporary,Novels,Adult,Literature,Fantasy"
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,1976,4.01,544469,"Horror,Fantasy,Fiction,Paranormal,Fantasy,Classics,Gothic,Fantasy,Fantasy,Historical"
"Doctor Sleep (The Shining, #2)",Stephen King,2013,4.12,234909,"Horror,Fiction,Thriller,Fantasy,Fantasy,Audiobook,Fantasy,Mystery,Suspense,Adult"
World War Z: An Oral History of the Zombie War (Hardcover),Max Brooks,2006,4.01,491848,"Horror,Fiction,Horror,Science Fiction,Fantasy,Apocalyptic,Science Fiction,Audiobook,Science Fiction,War"
We Have Always Lived in the Castle (Paperback),Shirley Jackson,1962,3.96,176209,"Horror,Classics,Fiction,Gothic,Mystery,Audiobook,Thriller,Adult,Thriller,Novels"
Cujo (Paperback),Stephen King,1981,3.76,260150,"Horror,Fiction,Thriller,Suspense,Animals,Adult,Audiobook,Fantasy,Novels,Animals"
NOS4A2 (Hardcover),Joe Hill,2013,4.08,117419,"Horror,Fiction,Fantasy,Thriller,Audiobook,Fantasy,Paranormal,Fantasy,Adult,Mystery"
The Exorcist (Mass Market Paperback),William Peter Blatty,1971,4.19,212433,"Horror,Fiction,Classics,Fantasy,Thriller,Fantasy,Fantasy,Religion,Audiobook,Adult"
"Bird Box (Bird Box, #1)",Josh Malerman,2014,4.04,171445,"Horror,Fiction,Thriller,Science Fiction,Mystery,Science Fiction,Apocalyptic,Audiobook,Adult,Suspense"
Coraline (Paperback),Neil Gaiman,2002,4.09,604767,"Fantasy,Horror,Fiction,Young Adult,Childrens,Childrens,Audiobook,Fantasy,Adventure,Mystery"
Heart-Shaped Box (Hardcover),Joe Hill,2007,3.84,124506,"Horror,Fiction,Thriller,Fantasy,Paranormal,Fantasy,Fantasy,Mystery,Audiobook,Adult"
Needful Things (Paperback),Stephen King,1991,3.95,233569,"Horror,Fiction,Thriller,Fantasy,Fantasy,Mystery,Fantasy,Audiobook,Suspense,Adult"
Christine (Paperback),Stephen King,1983,3.82,224579,"Horror,Fiction,Thriller,Fantasy,Fantasy,Fantasy,Mystery,Audiobook,Suspense,Adult"
Dr. Jekyll and Mr. Hyde (Paperback),Robert Louis Stevenson,1886,3.83,497002,"Classics,Horror,Fiction,Science Fiction,Mystery,Gothic,Fantasy,Literature,Academic,Literature"
The Southern Book Club's Guide to Slaying Vampires (Kindle Edition),Grady Hendrix,2020,3.82,149430,"Horror,Fiction,Fantasy,Paranormal,Audiobook,Fantasy,Thriller,Adult,Mystery,Fantasy"
Let the Right One In (Hardcover),John Ajvide Lindqvist,2004,4.04,102939,"Horror,Fiction,Paranormal,Fantasy,Fantasy,Thriller,Fantasy,Mystery,Cultural,European Literature"
