Author,Author Average Rating,Author Votes,Review Count,Distinct Works,chi
Stephanie Perkins,3.92,799433,80016,12,32
Jay Asher,3.84,982387,65351,14,32
Sarah J. Maas,4.36,8085813,673367,87,44
Emily Henry,4.05,1909874,216997,11,42
Alice Sebold,3.82,2371981,54762,14,32
Cassandra Clare,4.23,8430713,485060,187,44
Mette Ivie Harrison,3.37,28623,3791,64,34
Christina Baker Kline,4.11,556264,45971,18,42
Maggie O'Farrell,4.09,375352,45670,41,43
Matt Haig,4.01,1668423,188003,89,44
Josie Silver,3.86,338438,36056,4,31
Gillian Flynn,4.06,4699849,273616,21,43
Octavia E. Butler,4.21,574767,59983,83,44
Ann Brashares,3.8,1052345,31289,42,33
Gail Honeyman,4.25,1051380,85287,5,41
Alan Moore,4.24,1681066,52900,1033,45
John Updike,3.8,307058,20816,386,35
Rachel Hawkins,3.84,695944,68308,25,33
Robert K. Massie,4.06,209806,9566,29,43
Michael  Hughes,2.5,788,494,4,21
Neal Shusterman,4.22,1004938,127742,86,44
Leigh Bardugo,4.17,3659366,407619,69,44
Bernardine Evaristo,4.28,218885,21963,54,44
Edgar Allan Poe,4.15,1539993,51513,5482,45
Stefan Żeromski,2.89,22319,1081,68,24
Daphne Beal,3.29,361,59,3,31
E.H. Gombrich,3.96,419784,3783,89,34
Matthew McConaughey,4.21,220079,25966,6,41
Abi Maxwell,3.21,682,172,3,31
Stephanie Garber,4.12,651404,88758,10,42
Amor Towles,4.19,971608,97558,22,43
Lewis Carroll,4.05,1522832,42980,1631,45
Doris Kearns Goodwin,4.23,274504,15332,33,43
Roxane Gay,4.06,303088,35484,123,44
Jia Tolentino,4.07,62717,7255,7,41
Alix E. Harrow,4.01,203837,33510,39,43
John Boyne,4.16,1045043,70117,44,43
Amanda McKittrick Ros,2.19,227,53,11,22
Ruta Sepetys,4.33,538270,69720,10,42
Victoria Aveyard,3.94,1634749,124982,24,33
William Paul Young,3.8,627614,37213,20,33
Amie Kaufman,4.21,500317,90698,30,43
Colleen Hoover,4.24,9638832,874566,70,44
Zoe Desh,1.53,290,202,1,11
Marie Lu,4.15,1523399,155114,44,43
Marion Zimmer Bradley,4.0,469365,15492,450,45
Mark Schultz,3.94,23976,1974,235,35
Kevin Trudeau,3.22,3639,606,33,33
Diane Williams,3.55,3686,615,61,34
Christina Lauren,3.99,2257595,229463,74,34
Marissa Meyer,4.21,2589838,270012,56,44
James Joyce,3.75,475816,27859,838,35
Annie Barrows,4.17,778368,66217,44,43
Daniel Goleman,3.99,199835,10305,233,35
Holly Black,4.09,2905818,278307,168,44
Jeff Lemire,4.0,364798,36500,1104,45
Colleen Hoover,4.24,9639290,874594,70,44
Walt Whitman,4.12,152018,6155,888,45
Isabel Wilkerson,4.49,212971,28557,7,41
R.J. Palacio,4.38,1105961,86366,29,43
Madeleine L'Engle,3.99,1610315,59300,141,34
Coleridge Cook,2.94,986,202,1,21
Bernhard Schlink,3.75,215059,14033,60,34
Leigh Bardugo,4.17,3659486,407633,69,44
Kristin Harmel,4.26,298562,31726,24,43
Garson O'Toole,2.99,1918,232,1,21
Ira Levin,3.96,234324,13090,55,34
Richard Osman,4.12,445393,46820,20,43
Khaled Hosseini,4.33,4717719,195536,27,43
Hank Green,4.09,139679,21246,7,41
Simone Holloway,3.22,3877,299,176,34
Lemony Snicket,3.99,2306984,88029,95,34
Karen M. McManus,3.95,1065771,104439,23,33
Daniel H. Pink,3.91,201754,12363,116,34
Jennifer Niven,4.06,624222,60562,19,42
Melissa Albert,3.63,112128,17676,9,32
Thomas  Harris,4.08,1002448,22444,28,43
Philip Athans,3.88,19120,678,53,33
Diana Gabaldon,4.29,2852758,147520,188,44
Roald Dahl,4.14,3884910,114660,913,45
Lao Tzu,4.29,148159,6754,337,45
Laini Taylor,4.1,868387,104378,33,43
Robert Louis Stevenson,3.85,1327359,50114,3473,35
Gloria Tesch,2.36,268,77,6,21
Robin DiAngelo,4.21,180687,21468,15,42
Pat Barker,3.93,160325,15475,25,33
Faridah Àbíké-Íyímídé,4.24,59076,12069,4,41
Onision,1.74,1485,367,7,11
Edmund Morris,4.1,143904,5077,17,42
Lucy   Jackson,2.9,1130,131,2,21
Helen Hoang,3.93,572836,69395,7,31
Henryk Sienkiewicz,3.74,77709,3538,342,35
Amor Towles,4.19,971666,97560,22,43
Taylor Jenkins Reid,4.27,3847785,430295,19,42
Dan Brown,3.87,7967792,200538,134,34
Keith Gessen,4.15,35938,4395,34,43
Jen Sincero,3.94,251746,16463,128,34
Frank McCourt,4.07,705685,19084,43,43
Jane Austen,4.14,7410613,236945,2081,45
Stephen King,4.06,17484688,775845,1886,45
James Robinson,3.79,78401,6899,875,35
Alice LaPlante,3.54,22593,3491,17,32
Rory Power,3.49,83995,16697,9,32
Haruki Murakami,3.95,3150985,247612,429,35
Ibram X. Kendi,4.43,203622,26245,22,43
Julie Powell,3.68,163102,9403,5,31
Simone St. James,3.97,321496,41277,9,32
V.E. Schwab,4.17,1701537,237368,61,44
Holly  Jackson,4.33,755478,94899,10,42
Trevor Noah,4.49,593237,50507,7,41
Germaine Guèvremont,2.83,1223,68,7,21
Ashlee Vance,4.2,348209,11709,11,42
Liu Cixin,4.2,475804,45391,132,44
Barbara Kingsolver,4.02,1464814,87602,64,44
Matthew Desmond,4.47,84689,10472,12,42
Peter Thiel,4.18,305520,7992,27,43
Neil Gaiman,4.14,7226538,450339,1481,45
Jonathan Safran Foer,3.96,726617,48549,54,34
Jordan B. Peterson,3.96,202411,16666,32,33
Martha Hall Kelly,4.25,340128,28519,10,42
Dr. Seuss,4.25,3632877,64723,463,45
William  Gladstone,2.6,763,143,2,21
Fyodor Dostoevsky,4.19,1947683,101864,2344,45
Douglas   Stuart,4.33,136684,16852,13,42
Kazuo Ishiguro,3.85,1336703,117743,46,33
Joseph Caldwell,3.1,2405,558,22,33
Victor Hugo,4.15,1056458,34644,2259,45
Bennett Madison,3.33,4306,875,8,31
Stephen King,4.06,17484898,775851,1886,45
Tahereh Mafi,4.09,2005196,210822,35,43
Chimamanda Ngozi Adichie,4.33,1015525,93204,111,44
Jane Austen,4.14,7410768,236954,2082,45
Riley Sager,3.87,711740,95191,10,32
Dan   Harris,3.91,108085,8153,9,32
Neil Gaiman,4.14,7226470,450330,1481,45
Hermann Hesse,4.07,1157488,47775,959,45
Paul Theroux,3.83,150582,12516,183,34
Eliyzabeth Yanne Strong-Anderson,1.86,273,95,1,11
Franz Kafka,3.89,1520646,60290,1624,35
Rick Remender,3.89,155370,14092,852,35
S.J. Watson,3.86,343246,27062,7,31
Matt Fraction,3.97,320772,23406,746,35
Haruki Murakami,3.95,3150949,247606,429,35
H.P. Lovecraft,4.0,692989,44204,3388,45
Christina Lauren,3.99,2257800,229480,74,34
Abigail Jones,2.81,626,118,19,22
Ransom Riggs,3.97,1666716,107826,27,33
Fredrik Backman,4.26,2271354,270378,27,43
Madeleine Wickham,3.35,132755,6145,16,32
Matthew Walker,4.38,148224,15520,18,42
Anna  Fields,2.89,333,67,2,21
R.F. Kuang,4.26,304410,57977,15,42
Susan Ee,4.11,355564,34030,12,42
Cheryl Strayed,4.06,840349,56039,26,43
Kim Strickland,3.1,322,62,3,31
Kelly  Garrett,3.2,3001,592,3,31
Greg Pak,3.81,111161,10667,1056,35
Vincent van Gogh,4.1,111544,1594,345,45
Randy Pausch,4.26,330619,18605,10,42
Chloe Gong,4.1,157283,32845,14,42
Dalai Lama XIV,4.18,329280,18626,809,45
Robert Stanek,3.02,3437,473,308,35
Robert T. Kiyosaki,4.1,696201,27513,204,44
Brené Brown,4.23,753418,52412,57,44
Gregg Olsen,4.01,418724,30644,108,44
Brian K. Vaughan,4.24,1843828,109688,668,45
Michelle Smith,2.99,909,215,120,24
Howard Jacobson,3.24,35972,4978,60,34
Tony Abbott,3.9,57891,4664,129,34
Jojo Moyes,4.11,3002905,213732,60,44
Amanda Lovelace,3.82,219214,26575,26,33
Norman Mailer,3.81,82275,5927,198,34
M.J.    Edwards,2.31,5089,2760,12,22
John Green,4.0,8873561,413746,46,43
M.R. Carey,3.93,285276,31598,25,33
Jodi Picoult,3.99,4447198,273761,82,34
Erik Larson,4.0,1154517,87030,26,43
Maurice Sendak,4.22,1206749,23221,205,44
Kendare Blake,3.89,402363,50430,41,33
Dr. Seuss,4.25,3632867,64723,416,45
Mark T. Sullivan,4.33,438018,32120,32,43
J.K. Rowling,4.46,32199209,716319,385,45
Christina Lauren,3.99,2257914,229494,74,34
William Paul Young,3.8,627640,37213,20,33
Caroline Criado Pérez,4.36,84336,11212,8,41
Raina Telgemeier,4.26,821917,41701,49,43
Margaret Atwood,4.04,3486465,218506,470,45
Friedrich Nietzsche,4.04,420142,17368,1407,45
Jenny Han,3.97,2416345,190389,37,33
David Levithan,3.74,1371653,112797,106,34
Ana Huang,4.02,597159,64345,13,42
Chris Voss,4.37,120222,7726,20,43
Angela Duckworth,4.08,105280,7695,12,42
Nicholas Sparks,4.1,6336786,194774,193,44
Toni Morrison,3.98,995568,61510,156,34
Genevieve Gornichec,4.06,34882,5640,7,41
Katherine Paterson,3.99,596192,22570,119,34
Fiona Maazel,2.97,1359,276,7,21
Jody Shields,2.92,4175,724,6,21
Douglas Adams,4.2,3166199,75140,87,44
Simone Elkeles,4.06,537347,26924,19,42
Mary E. Pearson,4.07,428080,47726,35,43
Annelies Verbeke,3.24,6224,565,44,33
George R.R. Martin,4.37,6423033,220099,1121,45
Mariana Zapata,4.2,901990,100956,15,42
Dot Hutchison,4.08,227890,20556,7,41
Ruth Ware,3.76,1586339,141424,17,32
Michael Pearl,3.43,4126,587,66,34
Elif Shafak,4.02,410952,48478,60,44
Eva Gale,2.91,445,98,6,21
Gabriel Bá,3.95,159619,13792,130,34
Kerri Maniscalco,4.06,544179,75988,15,42
Paul Park,3.54,5038,690,56,34
S.A. Chakraborty,4.29,179087,25967,12,42
Ernest Hemingway,3.83,2446530,97597,944,35
James Sage,3.38,631,183,23,33
Jostein Gaarder,3.93,342393,22451,47,33
Tim O'Brien,4.08,348830,21442,81,44
Kristijonas Donelaitis,2.64,821,35,6,21
Adèle Lang,3.59,14277,357,6,31
Ariel Schrag,3.42,9654,1377,13,32
Robert Galbraith,4.05,1273073,96788,17,42
Maria V. Snyder,4.03,568696,42941,64,44
Stephen King,4.06,17485048,775865,1886,45
Stephen Hawking,4.19,707595,27905,136,44
Vincent Bugliosi,4.04,159154,6395,31,43
Jules Verne,3.89,920034,39783,2376,35
Rudolph Brasch,2.99,324,58,22,23
Sue Monk Kidd,4.07,1745267,82645,38,43
Gary Chapman,4.23,468222,24684,295,45
E.L. James,3.75,4424672,167742,39,33
John Green,4.0,8873706,413753,46,43
Haruki Murakami,3.95,3150997,247614,429,35
Alexis Henderson,3.8,33716,6210,4,31
Ashley Flowers,3.91,59531,7574,4,31
Ernest Cline,4.09,1301868,128782,14,42
Jon Krakauer,4.06,1816833,69478,43,43
V.E. Schwab,4.17,1701350,237349,61,44
Jennifer Niven,4.06,624153,60559,19,42
Alice Oseman,4.5,1749722,210904,48,43
N.H. Kleinbaum,4.2,79223,5246,12,42
Clarissa Pinkola Estés,4.15,74261,5737,56,44
Kody Keplinger,3.8,273861,21575,14,32
Janet Evanovich,4.01,3903640,172963,156,44
Margaret Erhart,2.93,321,75,7,21
Rupi Kaur,4.05,960561,63189,14,42
Nuruddin Farah,3.41,5036,772,25,33
Robert Kirkman,4.24,1240541,58077,1788,45
Janne S. Drangsholt,3.07,7100,770,8,31
Karel Glastra van Loon,3.28,5210,269,16,32
J.R.R. Tolkien,4.35,10073413,175255,512,45
Nicholas Sparks,4.1,6336902,194782,193,44
Lisa Taddeo,3.71,152621,14196,12,32
John Green,4.0,8873634,413752,46,43
Renate Dorrestein,3.35,13149,1052,64,34
Mark Z. Danielewski,4.04,173174,17229,17,42
Christina Hopkinson,3.13,1889,255,13,32
Jennifer Saint,3.81,84651,12490,4,31
Samuel       Miller,3.59,3215,554,3,31
Celeste Ng,4.01,1539049,115897,14,42
Michael Pollan,4.12,613429,47259,62,44
Chip Heath,4.0,174487,9394,31,43
Matt Haig,4.01,1668194,187984,89,44
Sequoia Nagamatsu,3.89,23768,4465,10,32
Frances Hodgson Burnett,4.16,1422593,38143,647,45
Ruth Ware,3.76,1586324,141424,17,32
Chloe  Benjamin,3.71,193532,19225,3,31
Terry Pratchett,4.16,4926126,186956,415,45
Lexi Ryan,4.1,185334,21935,64,44
Heather   Morris,4.3,934631,63073,14,42
Doug Moench,3.88,82226,4887,1324,35
Erin Somers,2.91,2586,435,2,21
Naomi Novik,4.06,867228,97459,65,44
Lydia Pyne,3.45,936,212,9,32
Brigid Kemmerer,4.04,394534,58005,26,43
E. Lockhart,3.69,1161168,118207,22,33
Ruth Ware,3.76,1586305,141423,17,32
E.M. Forster,3.88,434834,24629,418,35
Benjamin Nugent,3.15,3497,612,6,31
Michael A. Singer,4.21,97944,7634,49,43
Anita Diamant,4.11,691348,34837,24,43
Michelle Zauner,4.29,223826,26634,1,41
Alice McDermott,3.6,56318,6966,23,33
John  Gray,3.61,206622,8875,231,35
Mark Twain,3.87,2625117,58463,3543,35
William W. Johnstone,4.26,155660,8340,551,45
Jane Carruth,4.03,386950,5605,142,44
Polly Williams,3.41,4269,485,12,32
Naomi Campbell,4.04,2065,223,13,42
Tillie Cole,4.21,455903,57507,51,43
Rick Riordan,4.34,11197382,446246,278,45
Wendy  Holden,3.26,16127,1349,30,33
Rebecca Harrington,2.77,6486,1361,5,21
Ann Patchett,3.95,1225257,113662,68,34
William Faulkner,3.84,564338,31928,573,35
Jeneva Rose,4.02,195216,16384,6,41
Jessica Cutler,2.84,1579,307,1,21
Paul Kalanithi,4.39,561834,42955,9,42
Ralph Ellison,3.9,183821,8218,52,33
William Goldman,4.25,898235,25669,56,44
O.J. Simpson,3.25,8649,1205,10,32
Fonda Lee,4.27,72685,14033,25,43
Caitlin Kelly,3.71,7637,2041,128,34
Shobhaa Dé,2.76,4915,474,36,23
Alexandre Dumas,4.2,1398021,46649,3373,45
Niccolò Machiavelli,3.84,337017,11915,605,35
Margaret Atwood,4.04,3486398,218504,470,45
Leigh Bardugo,4.17,3659317,407612,69,44
Kim Edwards,3.68,603794,22665,15,32
William Shakespeare,3.86,7295810,154517,7712,35
Karin Slaughter,4.07,1522336,109106,107,44
Rebecca Serle,3.75,500043,49618,13,32
Paula Hawkins,3.89,3112958,158294,16,32
Gregory Maguire,3.54,925141,51653,95,34
Talia Hibbert,3.95,351927,57414,29,33
Richard  Adams,4.06,495105,18719,75,44
Scott Lynch,4.24,533487,35125,46,43
James Patterson,3.99,7545443,398192,1046,35
Thomas Caplan,2.75,388,118,4,21
Ruth Ware,3.76,1586352,141425,17,32
Simon Sinek,4.09,262016,14716,52,43
Kristin Hannah,4.31,3556418,296617,82,44
Krystal Sutherland,3.97,81592,14407,5,31
Eliza Orzeszkowa,3.04,6922,401,94,34
Ray Bradbury,3.99,2966069,120425,1691,35
Philippa Gregory,3.93,1632026,84236,112,34
Laura Hillenbrand,4.35,1045152,54041,6,41
Atul Gawande,4.33,307997,29215,28,43
Hanan Al-Shaykh,3.55,10406,1271,26,33
Nicola Yoon,3.99,922896,92982,17,32
Riley Sager,3.87,711749,95191,10,32
Amanda Marrone,3.45,13454,1126,8,31
Jodi Picoult,3.99,4447168,273760,82,34
Sarah J. Maas,4.36,8084822,673308,87,44
Danielle Staub,2.4,280,44,1,21
Barack Obama,4.04,592643,34941,223,45
Leon de Winter,3.45,9049,414,49,33
Pepe Moreno,2.87,291,45,11,22
Charlotte McConaghy,4.15,114049,16133,21,43
David Snodin,3.26,345,92,5,31
Colleen Hoover,4.24,9640004,874642,62,44
Alan A. McLean,1.99,1318,200,5,11
Michael Irwin,3.6,1799,265,28,33
Marie Benedict,3.91,338171,36287,14,32
Cormac McCarthy,4.02,1406700,95507,46,43
Sarah J. Maas,4.36,8085443,673345,87,44
Jill Price,2.92,946,246,6,21
Jason Rekulak,4.14,72953,10173,9,42
Gerard Jones,3.97,28665,1142,403,35
Truman Capote,4.01,947188,42691,223,45
Veronica Roth,4.03,6677273,294115,50,43
Wakefield Master,2.84,913,69,3,21
Jennifer L. Armentrout,4.21,3294312,292062,120,44
Holly  Jackson,4.33,755696,94926,10,42
Hanya Yanagihara,4.26,463277,71959,14,42
Thomas  Harris,4.08,1002434,22444,28,43
Rainbow Rowell,3.96,2766957,263016,93,34
Monica Ali,3.69,96131,7926,15,32
Elena Ferrante,4.14,826425,67592,28,43
Erin Sterling,3.59,146222,22317,3,31
Pamela L. Laskin,2.85,1596,449,13,22
J.K. Rowling,4.46,32200287,716343,385,45
Vina Jackson,3.21,12335,1157,16,32
Eric Carle,4.24,978734,27037,417,45
Rachel Hollis,3.69,337910,28672,19,32
Cassandra Clare,4.23,8430727,485062,187,44
Tahereh Mafi,4.09,2005157,210817,35,43
Cecelia Ahern,3.92,864737,52719,74,34
Simone St. James,3.97,321494,41277,9,32
Azareen Van der Vliet Oloomi,3.04,1740,444,7,31
Silvia Moreno-Garcia,3.72,400511,63951,143,34
Orson Scott Card,4.1,2957329,117291,634,45
Rebecca Makkai,4.11,137618,15405,24,43
م. مودب‌پور,2.65,6903,396,9,22
Susan Isaacs,3.47,25240,2982,31,33
Dante Alighieri,4.03,370135,15060,919,45
Greg Bear,3.87,642230,19827,191,34
Louisa May Alcott,4.1,2359676,64153,1638,45
Sylvia Plath,4.07,976632,48839,205,44
James Dashner,3.95,2764824,144704,50,33
Yuval Noah Harari,4.33,1222292,74056,54,44
Maya Angelou,4.27,665937,27452,174,44
Ned Vizzini,4.04,294919,17847,23,43
Sarah Hogle,3.89,114174,21140,5,31
Penelope Douglas,3.95,1341078,127177,40,33
Rupi Kaur,4.05,960641,63192,14,42
Monica Gallagher,3.7,2349,407,53,33
Norman Boutin,1.48,197,90,1,11
Chuck Palahniuk,3.84,1638024,74329,149,34
Francie Lin,2.83,301,70,2,21
Colson Whitehead,4.06,700061,67228,33,43
Miguel Ruiz,4.18,402423,21412,112,44
Michelle Hodkin,4.09,332431,36177,11,42
Lisa See,4.04,858490,67446,20,43
Francine du Plessix Gray,3.95,66830,1445,23,33
Maggie Stiefvater,4.0,1864417,180088,59,44
Gabe Hudson,2.96,1070,302,3,21
Si Spencer,3.56,3359,380,88,34
Chrissy Olinger,2.94,677,69,2,21
Homer,3.84,1514849,29713,1246,35
Abby Jimenez,4.15,300605,36931,5,41
Matthew Klam,3.36,3021,506,9,32
George R.R. Martin,4.37,6423152,220105,1121,45
Becky Albertalli,4.04,728898,85475,15,42
William Peter Blatty,4.15,232406,8712,30,43
D'Arcy Adrian-Vallance,2.17,1225,191,15,22
Susan Coll,2.97,3120,727,8,21
Donna Tartt,4.0,1424468,126051,28,43
Shelby Van Pelt,4.47,72854,11358,1,41
Ruth Ann Nordin,3.83,55250,4002,156,34
Alan Moore,4.24,1681042,52899,1033,45
Cutter Wood,2.69,538,117,3,21
Miranda Popkey,2.82,8274,1335,3,21
Michael  Grant,4.01,551866,34080,58,44
Patti Smith,4.12,319168,24471,113,44
May R. Ayamonte,2.48,3168,766,9,22
Gordon Dahlquist,3.51,12060,1631,17,32
Aldous Huxley,3.99,2028148,52877,442,35
Jim Butcher,4.25,2834165,126811,194,44
John Tiffany,3.52,909288,70641,16,32
Hunter S. Thompson,4.03,534399,16185,78,44
Toni Morrison,3.98,995586,61512,156,34
John Steinbeck,3.95,4401139,134553,461,35
Patricia Duncker,3.74,4626,518,21,33
Rahul Kanakia,3.44,11530,2881,30,33
Mary Ann Shaffer,4.18,704262,59403,6,41
Virginia Woolf,3.86,1099174,66047,1118,35
K.M. Robinson,3.67,1089,359,40,33
Cullen Bunn,3.82,158359,15904,1378,35
Kelly Rimmer,4.34,217502,20333,17,42
Meenakshi Reddy Madhavan,3.03,1532,146,12,32
Etaf Rum,4.26,123789,13655,2,41
David Means,3.52,6178,1005,29,33
Blaine Ray,2.89,2611,837,46,23
Chimamanda Ngozi Adichie,4.33,1015537,93204,111,44
Mary Beth Keane,3.93,189155,17540,4,31
Thomas Hardy,3.86,673573,32752,1187,35
Arielle Eckstut,3.83,2002,367,8,31
Tahereh Mafi,4.09,2005237,210828,35,43
Justin Halpern,3.95,174672,10750,6,31
Hafsah Faizal,4.02,96795,14660,8,41
Sarah J. Maas,4.36,8084588,673297,87,44
Chloe Hooper,3.91,11123,1200,10,32
David McCullough,4.08,883396,39003,80,44
Lauren  Hough,3.27,8714,1592,1,31
Charlotte Williams,3.05,942,155,19,32
Mark Twain,3.87,2625108,58463,3543,35
Sara Kadefors,3.16,3912,249,21,33
Khaled Hosseini,4.33,4717827,195538,27,43
Caroline Peckham,4.34,662696,57944,87,44
Dan Brown,3.87,7967790,200537,134,34
Naomi Alderman,3.78,223748,26376,33,33
Richard Noll,3.62,243,40,11,32
Robert B. Cialdini,4.17,159484,6126,49,43
Christopher Ransom,2.72,6474,1145,9,22
William Shakespeare,3.86,7295898,154522,7712,35
Charles C. Mann,4.06,105432,6962,31,43
Gretchen Rubin,3.67,258999,24668,29,33
Rick Riordan,4.34,11197670,446248,278,45
Michelle Obama,4.48,910855,64563,35,43
سعيد أبو العينين,3.47,356,73,11,32
Cassandra Clare,4.23,8430574,485054,187,44
G.P. Taylor,3.22,8755,988,34,33
Helen Hoang,3.93,572768,69387,7,31
Toshikazu Kawaguchi,3.78,202429,30152,10,32
Katee Robert,3.75,506591,61425,134,34
Neal Adams,3.9,47400,3897,738,35
Robert A. Heinlein,3.94,1202810,42057,651,35
Michael Gerber,2.9,4224,349,30,23
James Dashner,3.95,2764979,144706,50,33
Robin Kirman,2.84,2237,587,4,21
Glendy Vanderah,4.18,197597,16896,4,41
Rhonda Byrne,3.77,497513,18421,27,33
Paula Hawkins,3.89,3112993,158295,16,32
Rachael Lippincott,4.16,238450,26462,8,41
James Baldwin,4.32,400215,36680,184,44
Susan Minot,3.45,12336,1715,19,32
Patrick Ness,4.1,796597,104007,47,43
Agatha Christie,4.02,5724416,337931,3345,45
Marc Guggenheim,3.85,52855,4085,535,35
Lewis Carroll,4.05,1522822,42980,1631,45
Dave Bruno,2.89,2216,432,2,21
Thea Goodman,2.8,891,162,1,21
Emily Brontë,3.89,1670616,53104,695,35
Liv Constantine,3.89,315855,25900,10,32
Rick Riordan,4.34,11197573,446248,278,45
Joshua Cohen,3.63,10023,1690,64,34
William Kent Krueger,4.22,485956,51616,79,44
N.K. Jemisin,4.2,764467,82803,119,44
Elizabeth Gilbert,3.69,2279111,116283,46,33
William Faulkner,3.84,564338,31926,573,35
Stephen King,4.06,17485061,775865,1886,45
