Title,Author,Year,Rating,Raters
The Wasp Factory (Paperback),Iain Banks,1984,3.79,88086
11/22/63 (Hardcover),Stephen King,2011,4.32,485371
The Running Man (Paperback),Stephen King,1982,3.89,118377
The Tell-Tale Heart and Other Writings (Mass Market Paperback),Edgar Allan Poe,1843,4.19,234602
"Clown in a Cornfield (Clown in a Cornfield, #1)",Adam Cesare,2020,3.76,14081
Final Girls (Hardcover),Riley Sager,2017,3.84,134655
The Lottery (Paperback),Shirley Jackson,1948,4.07,74875
The Island of Dr. Moreau (Paperback),H.G. Wells,1896,3.73,109608
The Zombie Survival Guide: Complete Protection from the Living Dead (Paperback),Max Brooks,2003,3.85,101031
We Sold Our Souls (Kindle Edition),Grady Hendrix,2018,3.79,14750
The Luminous Dead (Kindle Edition),Caitlin  Starling,2019,3.69,10913
'Salem's Lot (Hardcover),Stephen King,1975,4.26,104892
"Abraham Lincoln: Vampire Hunter (Abraham Lincoln: Vampire Hunter, #1)",Seth Grahame-Smith,2010,3.71,133783
"Memnoch the Devil (The Vampire Chronicles, #5)",Anne Rice,1995,3.76,78813
"Relic (Pendergast, #1)",Douglas Preston,1995,4.04,101675
Strange Weather (Hardcover),Joe Hill,2017,3.86,22126
The Book of Accidents (Hardcover),Chuck Wendig,2021,3.78,15228
The Book of Accidents (Hardcover),Chuck Wendig,2021,3.78,15228
"Wolves of the Calla (The Dark Tower, #5)",Stephen King,2003,4.19,170948
"A Dowry of Blood (A Dowry of Blood, #1)",S.T. Gibson,2021,4.17,16575
"Crown of Shadows (Locke & Key, #3)",Joe Hill,2010,4.4,37636
"The Dark Tower (The Dark Tower, #7)",Stephen King,2004,4.27,160531
The Fall of the House of Usher: An Edgar Allan Poe Short Story (Paperback),Edgar Allan Poe,1839,3.92,52883
"The Girl from the Well (The Girl from the Well, #1)",Rin Chupeco,2014,3.8,11210
"The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)",Carrie Ryan,2009,3.6,84203
Penpal (Paperback),Dathan Auerbach,2012,3.88,19963
Night of the Mannequins (Paperback),Stephen Graham Jones,2020,3.38,11458
"Asylum (Asylum, #1)",Madeleine Roux,2013,3.64,52949
"The Butterfly Garden  (The Collector, #1)",Dot Hutchison,2016,4.07,154386
"The Monstrumologist (The Monstrumologist, #1)",Rick Yancey,2009,3.9,18746
"Song of Susannah (The Dark Tower, #6)",Stephen King,2004,3.99,146348
The Bachman Books (Paperback),Richard Bachman,1985,4.14,70398
The Best of H.P. Lovecraft: Bloodcurdling Tales of Horror and the Macabre (Paperback),H.P. Lovecraft,1963,4.31,28743
The Bloody Chamber and Other Stories (Paperback),Angela Carter,1979,3.95,48871
The Death of Jane Lawrence (Hardcover),Caitlin  Starling,2021,3.2,12195
"Gwendy's Button Box (The Button Box, #1)",Stephen King,2017,3.92,58980
The Lottery and Other Stories (Paperback),Shirley Jackson,1949,4.05,71240
Intensity (Paperback),Dean Koontz,1995,4.04,79344
Battle Royale (Paperback),Koushun Takami,1999,4.25,67115
Night Film (Paperback),Marisha Pessl,2013,3.78,85378
Hide (Hardcover),Kiersten White,2022,3.34,16071
Sawkill Girls (Hardcover),Claire Legrand,2018,3.68,15714
"Preludes & Nocturnes (The Sandman, #1)",Neil Gaiman,1988,4.24,247965
"Keys to the Kingdom (Locke & Key, #4)",Joe Hill,2011,4.38,33681
The Hacienda (Hardcover),Isabel Cañas,2022,3.85,18242
"Small Spaces (Small Spaces, #1)",Katherine Arden,2018,4.02,20630
The Raven (Paperback),Edgar Allan Poe,1845,4.29,124767
The Cask of Amontillado - an Edgar Allan Poe Short Story (Paperback),Edgar Allan Poe,1846,4.09,71561
The Willows (Paperback),Algernon Blackwood,1907,4.09,10629
Horrid (Hardcover),Katrina Leno,2020,3.58,11501
The Damnation Game (Mass Market Paperback),Clive Barker,1985,3.82,19117
The Haunting of Ashburn House (Kindle Edition),Darcy Coates,2016,3.95,18058
Cabal (Paperback),Clive Barker,1988,3.93,19612
Necroscope (Necroscope #1),Brian Lumley,1986,4.01,20058
The Stepford Wives (Paperback),Ira Levin,1972,3.81,35293
The Lost Village (Hardcover),Camilla Sten,2019,3.55,21392
"Clockworks (Locke & Key, #5)",Joe Hill,2013,4.47,31887
Exquisite Corpse (Paperback),Poppy Z. Brite,1996,3.78,12956
"End of Watch (Bill Hodges Trilogy, #3)",Stephen King,2016,4.09,105338
The Grip of It (Paperback),Jac Jemc,2017,3.22,9754
Comfort Me With Apples (Hardcover),Catherynne M. Valente,2021,3.62,14380
The Omen (Paperback),David Seltzer,1976,4.03,63790
Fever Dream (Hardcover),Samanta Schweblin,2014,3.74,29839
The Eyes of the Dragon (Paperback),Stephen King,1987,3.94,117300
"The Vampire Armand (The Vampire Chronicles, #6)",Anne Rice,1998,3.78,67107
The Little Stranger (Paperback),Sarah Waters,2009,3.56,51611
Baby Teeth (Hardcover),Zoje Stage,2018,3.62,54310
"Finders Keepers (Bill Hodges Trilogy, #2)",Stephen King,2015,4.05,130485
Broken Monsters (Paperback),Lauren Beukes,2014,3.59,21449
The Other (Mass Market Paperback),Thomas Tryon,1971,3.99,21180
"Dread Nation (Dread Nation, #1)",Justina Ireland,2018,4.14,29716
The Changeling (Hardcover),Victor LaValle,2017,3.78,16904
"I Am Not a Serial Killer (John Cleaver, #1)",Dan Wells,2009,3.79,35028
The Grownup (Hardcover),Gillian Flynn,2014,3.56,117348
"The Night Eternal (The Strain Trilogy, #3)",Guillermo del Toro,2011,3.7,28606
Weaveworld (Paperback),Clive Barker,1987,4.13,30721
The Invited (Hardcover),Jennifer  McMahon,2019,3.81,23692
The Great and Secret Show (Book of the Art #1),Clive Barker,1989,4.06,29630
White Is for Witching (Hardcover),Helen Oyeyemi,2009,3.56,10219
"The Rats (Rats, #1)",James Herbert,1974,3.93,19807
Fevre Dream (Paperback),George R.R. Martin,1982,3.89,25780
"Uzumaki: Spiral into Horror, Vol. 1 (Paperback)",Junji Ito,1998,4.36,21595
"Alpha & Omega (Locke & Key, #6)",Joe Hill,2014,4.48,29560
Full Throttle (Hardcover),Joe Hill,2019,4.01,14402
