Author Average Rating,Author Votes,Review Count,Distinct Works,Year,Rating,Raters,cluster
3.21,682,172,very small,new,2.92,small,0
4.12,651404,88758,very small,new,4.22,large,0
4.19,971608,97558,small,new,4.34,large,0
4.05,1522832,42980,large,old,4.0,large,0
4.23,274504,15332,small,new,4.26,large,0
4.06,303088,35484,average,new,3.94,large,0
4.07,62717,7255,very small,new,4.08,large,0
4.01,203837,33510,small,new,4.06,large,0
4.16,1045043,70117,small,new,4.5,large,0
2.19,227,53,small,old,2.05,small,0
4.33,538270,69720,very small,new,4.36,large,0
3.94,1634749,124982,small,new,3.65,medium,0
3.8,627614,37213,small,new,3.8,large,0
4.21,500317,90698,small,new,4.25,large,0
4.24,9638832,874566,medium,new,4.19,large,0
1.53,290,202,very small,new,1.53,small,0
4.15,1523399,155114,small,new,4.16,large,0
4.0,469365,15492,large,old,4.12,large,0
3.94,23976,1974,average,new,2.94,small,0
3.22,3639,606,small,new,2.93,small,0
3.55,3686,615,medium,new,2.8,small,0
3.99,2257595,229463,medium,new,4.34,large,0
4.21,2589838,270012,medium,new,4.09,large,0
3.75,475816,27859,large,old,2.8,small,0
4.17,778368,66217,small,new,2.92,small,0
3.99,199835,10305,average,new,4.04,large,0
4.09,2905818,278307,average,new,4.08,large,0
4.0,364798,36500,large,new,2.97,small,0
4.24,9639290,874594,medium,new,4.18,large,0
4.12,152018,6155,large,old,4.11,large,0
4.36,8085813,673367,medium,new,3.8,large,0
4.49,212971,28557,very small,new,4.54,large,0
4.38,1105961,86366,small,new,4.39,large,0
3.99,1610315,59300,average,old,3.99,large,0
2.94,986,202,very small,new,2.94,small,0
3.75,215059,14033,medium,new,2.96,small,0
4.17,3659486,407633,medium,new,4.61,large,0
4.26,298562,31726,small,new,4.4,large,0
2.99,1918,232,very small,new,2.99,medium,0
3.96,234324,13090,medium,new,2.54,medium,0
4.12,445393,46820,small,new,3.93,large,0
4.33,4717719,195536,small,new,4.41,large,0
4.09,139679,21246,very small,new,4.04,large,0
3.22,3877,299,average,new,2.93,small,0
3.99,2306984,88029,medium,new,3.99,large,0
3.95,1065771,104439,small,new,3.98,large,0
3.91,201754,12363,average,new,3.95,large,0
4.06,624222,60562,small,new,3.75,large,0
3.63,112128,17676,very small,new,3.57,large,0
4.08,1002448,22444,small,new,4.23,large,0
