,Title,Author,Year,Rating,Raters,Genres
145,The Fisherman (Paperback),John  Langan,2016,3.94,17109,"Horror,Fiction,Fantasy,Fantasy,Horror,Audiobook,Thriller,Mystery,Novels,Fantasy"
146,Kill Creek (Paperback),Scott   Thomas,2017,3.78,16090,"Horror,Fiction,Fantasy,Thriller,Adult,Mystery,Holiday,Audiobook,Fantasy,Fantasy"
147,From a Buick 8 (Hardcover),Stephen King,2002,3.47,65101,"Horror,Fiction,Fantasy,Thriller,Science Fiction,Mystery,Fantasy,Audiobook,Fantasy,Novels"
148,"Black House (The Talisman, #2)",Stephen King,2001,4.02,59043,"Horror,Fantasy,Fiction,Thriller,Mystery,Fantasy,Audiobook,Fantasy,Suspense,Mystery"
149,"The Waste Lands (The Dark Tower, #3)",Stephen King,1991,4.24,205642,"Fantasy,Fiction,Horror,Science Fiction,Adventure,Westerns,Audiobook,Science Fiction Fantasy,Thriller,Apocalyptic"
150,"The Witching Hour (Lives of the Mayfair Witches, #1)",Anne Rice,1990,4.11,110046,"Horror,Fantasy,Fiction,Fantasy,Paranormal,Fantasy,Gothic,Fantasy,Fantasy,Historical"
151,The Yellow Wall-Paper (Paperback),Charlotte Perkins Gilman,1892,4.11,148397,"Classics,Short Stories,Fiction,Horror,Feminism,Gothic,Health,Academic,Literature,Mental Health"
152,The Girl Next Door (Paperback),Jack Ketchum,1989,3.95,31522,"Horror,Fiction,Thriller,Mystery,Crime,Mystery,Audiobook,Dark,Sociology,Adult"
153,Haunted (Paperback),Chuck Palahniuk,2005,3.6,97351,"Horror,Fiction,Short Stories,Contemporary,Thriller,Novels,Adult,Dark,Literature,Humor"
156,"Ring (Ring, #1)",Kōji Suzuki,1991,3.81,19484,"Horror,Fiction,Cultural,Asian Literature,Mystery,Thriller,Fantasy,Fantasy,Fantasy,Adult"
157,"Hannibal (Hannibal Lecter, #3)",Thomas  Harris,1999,3.8,99909,"Horror,Fiction,Thriller,Mystery,Mystery,Thriller,Suspense,Novels,Adult,Thriller"
