Title,Author,Year,Rating,Raters,Genres
"The Passage (The Passage, #1)",Justin Cronin,2010,4.04,201724,"Horror,Fiction,Science Fiction,Fantasy,Apocalyptic,Paranormal,Science Fiction,Thriller,Science Fiction,Fantasy"
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,1981,4.05,310056,"Horror,Fiction,Thriller,Mystery,Mystery,Thriller,Suspense,Novels,Classics,Adult"
Carmilla (Paperback),J. Sheridan Le Fanu,1872,3.83,76696,"Classics,Horror,Gothic,Fiction,Paranormal,Fantasy,LGBT,LGBT,Fantasy,Audiobook"
I Am Legend (Kindle Edition),Richard Matheson,1954,4.06,118330,"Horror,Science Fiction,Fiction,Classics,Apocalyptic,Paranormal,Fantasy,Science Fiction,Audiobook,Science Fiction"
Gerald's Game (Hardcover),Stephen King,1992,3.56,149727,"Horror,Fiction,Thriller,Suspense,Adult,Mystery,Audiobook,Thriller,Novels,Fantasy"
Desperation (Mass Market Paperback),Stephen King,1996,3.84,133054,"Horror,Fiction,Thriller,Fantasy,Suspense,Fantasy,Fantasy,Audiobook,Novels,Adult"
Insomnia (Paperback),Stephen King,1994,3.83,147008,"Horror,Fiction,Fantasy,Thriller,Fantasy,Mystery,Suspense,Fantasy,Audiobook,Science Fiction"
The Mist (Paperback),Stephen King,1980,3.95,137191,"Horror,Fiction,Thriller,Fantasy,Science Fiction,Fantasy,Mystery,Audiobook,Short Stories,Fantasy"
Dreamcatcher (Paperback),Stephen King,2001,3.64,166004,"Horror,Fiction,Science Fiction,Thriller,Fantasy,Science Fiction,Fantasy,Mystery,Fantasy,Suspense"
The Green Mile (Paperback),Stephen King,1996,4.46,289083,"Horror,Fiction,Fantasy,Thriller,Mystery,Classics,Mystery,Fantasy,Fantasy,Historical"
Tender is the Flesh (Paperback),Agustina Bazterrica,2017,3.88,83976,"Horror,Fiction,Science Fiction,Science Fiction,Adult,Thriller,Audiobook,Contemporary,Dark,Speculative Fiction"
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,1985,4.08,189862,"Horror,Fantasy,Paranormal,Fiction,Fantasy,Fantasy,Gothic,Fantasy,Historical,Adult"
American Psycho (Paperback),Bret Easton Ellis,1991,3.82,276773,"Fiction,Horror,Classics,Thriller,Mystery,Contemporary,Novels,Literature,Mystery,Literature"
The Woman in Black (Paperback),Susan         Hill,1983,3.74,60164,"Horror,Fiction,Gothic,Classics,Mystery,Historical,Paranormal,Fantasy,Horror,Historical"
Ghost Story (Mass Market Paperback),Peter Straub,1979,3.94,74445,"Horror,Fiction,Fantasy,Paranormal,Mystery,Thriller,Fantasy,Fantasy,Suspense,Horror"
"The Strain (The Strain Trilogy, #1)",Guillermo del Toro,2009,3.79,83735,"Horror,Fiction,Paranormal,Fantasy,Science Fiction,Thriller,Fantasy,Fantasy,Audiobook,Apocalyptic"
The Long Walk (Mass Market Paperback),Richard Bachman,1979,4.10,158041,"Horror,Fiction,Science Fiction,Thriller,Science Fiction,Fantasy,Audiobook,Adult,Suspense,Novels"
Through the Woods (Hardcover),Emily Carroll,2014,3.94,74668,"Sequential Art,Horror,Sequential Art,Fantasy,Short Stories,Young Adult,Fiction,Graphic Novels Comics,Fantasy,Gothic"
I Am Legend and Other Stories (Paperback),Richard Matheson,1954,4.00,126726,"Horror,Fiction,Science Fiction,Paranormal,Short Stories,Fantasy,Apocalyptic,Classics,Science Fiction,Horror"
"Into the Drowning Deep (Rolling in the Deep, #1)",Mira Grant,2017,3.99,25663,"Horror,Fantasy,Science Fiction,Fiction,LGBT,Adult,Thriller,Mythology,Audiobook,LGBT"
Hell House (Hardcover),Richard Matheson,1971,3.76,45250,"Horror,Fiction,Fantasy,Classics,Paranormal,Mystery,Fantasy,Thriller,Fantasy,Audiobook"
The Hellbound Heart (Paperback),Clive Barker,1986,4.06,49134,"Horror,Fiction,Fantasy,Novella,Fantasy,Fantasy,Classics,Short Stories,Novels,Fantasy"
The Amityville Horror (Mass Market Paperback),Jay Anson,1977,3.84,121327,"Horror,Fiction,Fantasy,Thriller,Classics,Audiobook,Fantasy,Crime,Paranormal,Mystery"
"Full Dark, No Stars (Hardcover)",Stephen King,2011,4.07,102903,"Horror,Short Stories,Fiction,Thriller,Mystery,Suspense,Audiobook,Fantasy,Anthologies,Mystery"
The Terror (Hardcover),Dan Simmons,2007,4.06,54885,"Horror,Historical,Fiction,Fantasy,Thriller,Historical,Adventure,Mystery,Audiobook,Adventure"
Revival (Hardcover),Stephen King,2014,3.80,114756,"Horror,Fiction,Thriller,Fantasy,Mystery,Audiobook,Science Fiction,Fantasy,Fantasy,Suspense"
Different Seasons (Mass Market Paperback),Stephen King,1982,4.35,193280,"Horror,Fiction,Short Stories,Thriller,Mystery,Fantasy,Drama,Classics,Suspense,Anthologies"
Everything's Eventual (Paperback),Stephen King,2002,3.97,95025,"Horror,Short Stories,Fiction,Fantasy,Thriller,Anthologies,Fantasy,Audiobook,Anthologies,Short Stories"
The Ruins (Hardcover),Scott        Smith,2006,3.64,41304,"Horror,Fiction,Thriller,Mystery,Suspense,Adventure,Audiobook,Adult,Fantasy,Thriller"
The Girl Who Loved Tom Gordon (Paperback),Stephen King,1999,3.62,148697,"Horror,Fiction,Thriller,Suspense,Mystery,Fantasy,Audiobook,Adventure,Adventure,Adult"
Four Past Midnight (Paperback),Stephen King,1990,3.94,104342,"Horror,Fiction,Short Stories,Thriller,Fantasy,Mystery,Suspense,Fantasy,Anthologies,Science Fiction"
I'm Thinking of Ending Things (Kindle Edition),Iain Reid,2016,3.59,115745,"Horror,Fiction,Thriller,Mystery,Thriller,Audiobook,Adult,Contemporary,Suspense,Thriller"
Annihilation (Paperback),Jeff VanderMeer,2014,3.74,195490,"Science Fiction,Fiction,Horror,Fantasy,Mystery,Science Fiction,Audiobook,Science Fiction Fantasy,Adult,Thriller"
The Cabin at the End of the World (Hardcover),Paul Tremblay,2018,3.30,51067,"Horror,Fiction,Thriller,Mystery,Audiobook,Adult,Suspense,Thriller,LGBT,Science Fiction"
"Anna Dressed in Blood (Anna, #1)",Kendare Blake,2011,3.91,102969,"Young Adult,Horror,Fantasy,Fantasy,Paranormal,Romance,Fantasy,Fiction,Fantasy,Mystery"
"Locke & Key, Volume 1: Welcome to Lovecraft (Hardcover)",Joe Hill,2008,4.15,92436,"Sequential Art,Horror,Sequential Art,Fantasy,Fiction,Graphic Novels Comics,Mystery,Comics,Fantasy,Fantasy"
Bunny (Hardcover),Mona Awad,2019,3.57,75309,"Horror,Fiction,Contemporary,Thriller,Fantasy,Adult,Magical Realism,Literary Fiction,Audiobook,Mystery"
Duma Key (Hardcover),Stephen King,2008,3.96,114061,"Horror,Fiction,Thriller,Fantasy,Mystery,Fantasy,Audiobook,Suspense,Fantasy,Novels"
Nightmares and Dreamscapes (Paperback),Stephen King,1993,3.95,79023,"Horror,Short Stories,Fiction,Fantasy,Thriller,Anthologies,Mystery,Fantasy,Anthologies,Suspense"
"The Talisman (The Talisman, #1)",Stephen King,1984,4.13,120207,"Horror,Fantasy,Fiction,Thriller,Adventure,Mystery,Audiobook,Fantasy,Fantasy,Science Fiction"
Home Before Dark (Hardcover),Riley Sager,2020,4.09,134000,"Horror,Thriller,Mystery,Thriller,Fiction,Audiobook,Adult,Fantasy,Suspense,Paranormal"
Rose Madder (Paperback),Stephen King,1995,3.73,105986,"Horror,Fiction,Thriller,Fantasy,Suspense,Fantasy,Fantasy,Audiobook,Mystery,Adult"
Dolores Claiborne (ebook),Stephen King,1992,3.90,140974,"Horror,Fiction,Thriller,Mystery,Suspense,Mystery,Audiobook,Thriller,Adult,Drama"
Wilder Girls (Hardcover),Rory Power,2019,3.48,72352,"Horror,Young Adult,LGBT,Mystery,Fiction,Science Fiction,LGBT,Science Fiction,Fantasy,LGBT"
The Last House on Needless Street (Hardcover),Catriona Ward,2021,3.86,53900,"Horror,Thriller,Mystery,Fiction,Thriller,Audiobook,Adult,Mystery,Gothic,Contemporary"
"The Queen of the Damned (The Vampire Chronicles, #3)",Anne Rice,1988,3.90,145276,"Horror,Fantasy,Paranormal,Fiction,Fantasy,Fantasy,Fantasy,Gothic,Adult,Science Fiction Fantasy"
"John Dies at the End (John Dies at the End, #1)",David  Wong,2007,3.89,68898,"Horror,Fiction,Humor,Fantasy,Science Fiction,Humor,Fantasy,Fantasy,Audiobook,Fantasy"
Missing,Missing,0,0,0,",,,,,,,,,,,,,,"
Missing,Missing,0,0,0,
"My Heart Is a Chainsaw (The Lake Witch Trilogy, #1)",Stephen Graham Jones,2021,3.58,21445,"Horror,Fiction,Thriller,Mystery,Adult,Audiobook,Thriller,Contemporary,Adult Fiction,Holiday"
The Ballad of Black Tom (Paperback),Victor LaValle,2016,3.88,22642,"Horror,Fantasy,Fiction,Novella,Historical,Fantasy,Horror,Historical,Audiobook,Adult"
Nothing But Blackened Teeth (Hardcover),Cassandra Khaw,2021,2.74,23496,"Horror,Fiction,Novella,Fantasy,Adult,Fantasy,Audiobook,Paranormal,Short Stories,Cultural"
The Hollow Places (Paperback),T. Kingfisher,2020,3.79,19743,"Horror,Fantasy,Fiction,Thriller,Adult,Mystery,Audiobook,Fantasy,Science Fiction,Thriller"
The Graveyard Book (Hardcover),Neil Gaiman,2008,4.15,500327,"Fantasy,Young Adult,Fiction,Horror,Childrens,Fantasy,Childrens,Audiobook,Paranormal,Fantasy"
The Twisted Ones (Hardcover),T. Kingfisher,2019,3.64,19337,"Horror,Fantasy,Fiction,Mystery,Thriller,Adult,Fantasy,Audiobook,Fantasy,Thriller"
Lovecraft Country (ebook),Matt Ruff,2016,4.02,39560,"Horror,Fantasy,Fiction,Historical,Science Fiction,Historical,Audiobook,Horror,Fantasy,Race"
At the Mountains of Madness (Paperback),H.P. Lovecraft,1931,3.84,45344,"Horror,Fiction,Classics,Science Fiction,Fantasy,Horror,Short Stories,Audiobook,Fantasy,Novels"
Hex (Paperback),Thomas Olde Heuvelt,2013,3.73,29378,"Horror,Fiction,Fantasy,Thriller,Paranormal,Fantasy,Fantasy,Mystery,Adult,Audiobook"
"Feed (Newsflesh, #1)",Mira Grant,2010,3.85,56259,"Horror,Horror,Science Fiction,Fiction,Science Fiction,Apocalyptic,Young Adult,Fantasy,Thriller,Audiobook"
If It Bleeds (Kindle Edition),Stephen King,2020,4.01,74293,"Horror,Fiction,Short Stories,Thriller,Mystery,Audiobook,Fantasy,Adult,Suspense,Novella"
Later (Kindle Edition),Stephen King,2021,4.00,103156,"Horror,Fiction,Thriller,Mystery,Audiobook,Mystery,Fantasy,Fantasy,Fantasy,Thriller"
Imaginary Friend (Hardcover),Stephen Chbosky,2019,3.54,42473,"Horror,Fiction,Thriller,Mystery,Adult,Fantasy,Audiobook,Thriller,Fantasy,Adult Fiction"
The Call of Cthulhu and Other Weird Stories (Paperback),H.P. Lovecraft,1926,4.17,44059,"Horror,Fiction,Classics,Short Stories,Fantasy,Science Fiction,Gothic,Fantasy,Literature,Horror"
What Moves the Dead (Hardcover),T. Kingfisher,2022,3.99,16165,"Horror,Fantasy,Gothic,Fiction,Retellings,Adult,Mystery,Novella,Historical,Audiobook"
Sleeping Beauties (Hardcover),Stephen King,2017,3.73,75481,"Horror,Fantasy,Fiction,Thriller,Audiobook,Mystery,Science Fiction,Adult,Fantasy,Science Fiction"
The Ocean at the End of the Lane (Hardcover),Neil Gaiman,2013,4.01,561797,"Fantasy,Fiction,Magical Realism,Horror,Audiobook,Young Adult,Adult,Science Fiction Fantasy,Adult Fiction,Fantasy"
20th Century Ghosts (Hardcover),Joe Hill,2005,3.92,40179,"Horror,Short Stories,Fiction,Fantasy,Fantasy,Paranormal,Fantasy,Anthologies,Audiobook,Thriller"
Cycle of the Werewolf (Paperback),Stephen King,1983,3.66,55560,"Horror,Fiction,Fantasy,Shapeshifters,Thriller,Fantasy,Fantasy,Short Stories,Mystery,Sequential Art"
Swan Song (Mass Market Paperback),Robert McCammon,1987,4.28,62348,"Horror,Fiction,Apocalyptic,Fantasy,Science Fiction,Science Fiction,Science Fiction,Thriller,Audiobook,Science Fiction Fantasy"
Uzumaki (Hardcover),Junji Ito,2000,4.44,43883,"Sequential Art,Horror,Sequential Art,Sequential Art,Fiction,Fantasy,Cultural,Adult,Asian Literature,Graphic Novels Manga"
"The Drawing of the Three (The Dark Tower, #2)",Stephen King,1987,4.23,241180,"Fantasy,Fiction,Horror,Science Fiction,Adventure,Westerns,Audiobook,Science Fiction Fantasy,Thriller,Novels"
"Psycho (Psycho, #1)",Robert Bloch,1959,4.12,61468,"Horror,Classics,Fiction,Thriller,Mystery,Mystery,Audiobook,Suspense,Thriller,Adult"
The Fireman (Paperback),Joe Hill,2016,3.91,56160,"Horror,Fiction,Science Fiction,Fantasy,Thriller,Science Fiction,Apocalyptic,Audiobook,Science Fiction,Adult"
"Odd Thomas (Odd Thomas, #1)",Dean Koontz,2004,3.98,261934,"Horror,Fiction,Mystery,Fantasy,Thriller,Fantasy,Fantasy,Suspense,Fantasy,Audiobook"
The Regulators (Mass Market Paperback),Richard Bachman,1996,3.72,79079,"Horror,Fiction,Thriller,Fantasy,Fantasy,Audiobook,Suspense,Science Fiction,Novels,Adult"
The Hunger (Hardcover),Alma Katsu,2018,3.63,23074,"Horror,Historical,Fiction,Historical,Mystery,Adult,Thriller,Fantasy,Fantasy,Audiobook"
Watchers (Paperback),Dean Koontz,1987,4.18,158824,"Horror,Fiction,Thriller,Science Fiction,Mystery,Suspense,Fantasy,Thriller,Animals,Fantasy"
Things Have Gotten Worse Since We Last Spoke (Kindle Edition),Eric LaRocca,2021,3.04,32713,"Horror,Fiction,LGBT,Novella,Adult,Thriller,LGBT,Short Stories,Contemporary,LGBT"
"Mr. Mercedes (Bill Hodges Trilogy, #1)",Stephen King,2014,3.99,281468,"Fiction,Thriller,Horror,Mystery,Mystery,Audiobook,Thriller,Suspense,Adult,Mystery"
Slade House (Kindle Edition),David Mitchell,2015,3.81,59879,"Horror,Fiction,Fantasy,Mystery,Fantasy,Thriller,Fantasy,Audiobook,Science Fiction,Literary Fiction"
Scary Stories to Tell in the Dark (Paperback),Alvin Schwartz,1981,4.05,63196,"Horror,Short Stories,Fiction,Childrens,Young Adult,Childrens,Fantasy,Holiday,Fantasy,Classics"
The Historian (Kindle Edition),Elizabeth Kostova,2005,3.79,256716,"Fiction,Historical,Fantasy,Horror,Mystery,Paranormal,Historical,Gothic,Fantasy,Thriller"
Lisey's Story (Hardcover),Stephen King,2006,3.70,80259,"Horror,Fiction,Fantasy,Thriller,Mystery,Audiobook,Romance,Fantasy,Suspense,Fantasy"
The Bazaar of Bad Dreams (Hardcover),Stephen King,2015,3.92,55443,"Horror,Short Stories,Fiction,Fantasy,Audiobook,Thriller,Anthologies,Mystery,Adult,Fantasy"
"Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)",Seth Grahame-Smith,2009,3.31,135365,"Fiction,Horror,Fantasy,Horror,Humor,Romance,Classics,Historical,Fantasy,Historical"
The Winter People (Hardcover),Jennifer  McMahon,2014,3.81,64136,"Horror,Mystery,Fiction,Thriller,Fantasy,Historical,Fantasy,Thriller,Suspense,Audiobook"
Ring Shout (Hardcover),P. Djèlí Clark,2020,4.05,23555,"Horror,Fantasy,Historical,Fiction,Novella,Historical,Adult,Audiobook,Science Fiction,Science Fiction"
Perfume: The Story of a Murderer (Paperback),Patrick Süskind,1985,4.03,408006,"Fiction,Classics,Historical,Horror,Mystery,Thriller,Mystery,European Literature,Historical,Novels"
The Complete Stories and Poems (Hardcover),Edgar Allan Poe,1849,4.38,240808,"Classics,Poetry,Horror,Fiction,Short Stories,Gothic,Mystery,Fantasy,Literature,Classics"
The Call of Cthulhu (Kindle Edition),H.P. Lovecraft,1928,3.98,49843,"Horror,Classics,Fiction,Short Stories,Fantasy,Science Fiction,Horror,Audiobook,Literature,Fantasy"
The Fisherman (Paperback),John  Langan,2016,3.94,17109,"Horror,Fiction,Fantasy,Fantasy,Horror,Audiobook,Thriller,Mystery,Novels,Fantasy"
Kill Creek (Paperback),Scott   Thomas,2017,3.78,16090,"Horror,Fiction,Fantasy,Thriller,Adult,Mystery,Holiday,Audiobook,Fantasy,Fantasy"
From a Buick 8 (Hardcover),Stephen King,2002,3.47,65101,"Horror,Fiction,Fantasy,Thriller,Science Fiction,Mystery,Fantasy,Audiobook,Fantasy,Novels"
"Black House (The Talisman, #2)",Stephen King,2001,4.02,59043,"Horror,Fantasy,Fiction,Thriller,Mystery,Fantasy,Audiobook,Fantasy,Suspense,Mystery"
"The Waste Lands (The Dark Tower, #3)",Stephen King,1991,4.24,205642,"Fantasy,Fiction,Horror,Science Fiction,Adventure,Westerns,Audiobook,Science Fiction Fantasy,Thriller,Apocalyptic"
"The Witching Hour (Lives of the Mayfair Witches, #1)",Anne Rice,1990,4.11,110046,"Horror,Fantasy,Fiction,Fantasy,Paranormal,Fantasy,Gothic,Fantasy,Fantasy,Historical"
The Yellow Wall-Paper (Paperback),Charlotte Perkins Gilman,1892,4.11,148397,"Classics,Short Stories,Fiction,Horror,Feminism,Gothic,Health,Academic,Literature,Mental Health"
The Girl Next Door (Paperback),Jack Ketchum,1989,3.95,31522,"Horror,Fiction,Thriller,Mystery,Crime,Mystery,Audiobook,Dark,Sociology,Adult"
Haunted (Paperback),Chuck Palahniuk,2005,3.60,97351,"Horror,Fiction,Short Stories,Contemporary,Thriller,Novels,Adult,Dark,Literature,Humor"
Missing,Missing,0,0,0,",,,,,,"
Missing,Missing,0,0,0,
"Ring (Ring, #1)",Kōji Suzuki,1991,3.81,19484,"Horror,Fiction,Cultural,Asian Literature,Mystery,Thriller,Fantasy,Fantasy,Fantasy,Adult"
"Hannibal (Hannibal Lecter, #3)",Thomas  Harris,1999,3.80,99909,"Horror,Fiction,Thriller,Mystery,Mystery,Thriller,Suspense,Novels,Adult,Thriller"
Just After Sunset (Hardcover),Stephen King,2008,3.87,51437,"Horror,Short Stories,Fiction,Thriller,Fantasy,Anthologies,Fantasy,Audiobook,Suspense,Anthologies"
Joyland (Paperback),Stephen King,2013,3.93,142585,"Horror,Mystery,Fiction,Thriller,Mystery,Thriller,Fantasy,Audiobook,Suspense,Young Adult"
The Elementals (Paperback),Michael McDowell,1981,4.02,15224,"Horror,Fiction,Gothic,Fantasy,Gothic,Fantasy,Audiobook,Fantasy,Paranormal,Adult"
